APP;NUM;MODO;ENERGIA;TIEMPO
gcc;;;199,79;10,001970802
gcc;;;314,87;10,001917024
bwaves;;;220,16;10,002950276
bwaves;;;345,01;10,002796331
bzip2;;;201,82;10,002953415
bzip2;;;339,46;10,001943175
calculix;;;177,50;10,001926057
calculix;;;283,39;10,001933039
dealII;;;204,78;10,002958723
dealII;;;338,39;10,001927454
GemsFDTD;;;206,61;10,002959602
GemsFDTD;;;309,30;10,002745427
gobmk;;;204,35;10,002913843
gobmk;;;336,17;10,002877990
gromacs;;;186,45;10,002935390
gromacs;;;309,82;10,003956291
h264ref;;;197,70;10,002917948
h264ref;;;330,56;10,001964920
hmmer;;;200,69;10,003956254
hmmer;;;337,67;10,001957009
lbm;;;205,03;10,002930967
lbm;;;311,21;10,002874065
leslie3d;;;220,52;10,002944917
leslie3d;;;354,39;10,004142710
libquantum;;;200,53;10,002894414
libquantum;;;281,11;10,002905843
milc;;;160,26;10,003953748
milc;;;254,58;10,003956447
omnetpp;;;185,61;10,003940199
omnetpp;;;298,00;10,001945402
perlbench;;;212,22;10,001948871
perlbench;;;359,06;10,001962271
sjeng;;;185,25;10,003954512
sjeng;;;316,77;10,003918421
soplex;;;203,81;10,001928999
soplex;;;341,92;10,002718069
tonto;;;196,19;10,002903296
tonto;;;333,05;10,001965861
wrf;;;179,38;10,001971413
wrf;;;304,51;10,001970070
xalancbmk;;;205,26;10,001948596
xalancbmk;;;343,02;10,001821133
zeusmp;;;155,84;10,001965555
zeusmp;;;257,16;10,002967378
mcf_r;;;178,37;10,002854430
mcf_r;;;302,04;10,002896700
cactuBSSN_r;;;221,70;10,003734143
cactuBSSN_r;;;375,58;10,002896110
namd_r;;;205,07;10,003972507
namd_r;;;352,97;10,002969612
parest_r;;;187,43;10,003919489
parest_r;;;318,38;10,002965627
omnetpp_r;;;178,46;10,003957648
omnetpp_r;;;288,17;10,001900709
x264_r;;;139,19;10,001354651
x264_r;;;278,31;10,001364729
blender_r;;;196,26;10,002951422
blender_r;;;340,20;10,002958612
deepsjeng_r;;;185,00;10,001942397
deepsjeng_r;;;314,01;10,003964525
imagick_r;;;185,72;10,001918730
imagick_r;;;327,12;10,003964326
nab_r;;;178,96;10,001966941
nab_r;;;312,71;10,001963021
gcc;;;123,76;10,001458497
gcc;;;174,26;10,000921452
bwaves;;;122,32;10,001497054
bwaves;;;174,01;10,000934504
bzip2;;;120,50;10,001330362
bzip2;;;173,43;10,000825536
calculix;;;110,32;10,001330026
calculix;;;157,61;10,000809818
dealII;;;121,99;10,001323889
dealII;;;177,46;10,000809543
GemsFDTD;;;123,82;10,001414926
GemsFDTD;;;174,96;10,000977308
gobmk;;;114,25;10,001332273
gobmk;;;164,81;10,000788582
gromacs;;;105,93;10,001284698
gromacs;;;146,27;10,000825097
h264ref;;;113,33;10,001333368
h264ref;;;162,51;10,000819172
hmmer;;;114,29;10,001262534
hmmer;;;166,32;10,000758812
lbm;;;122,90;10,001518016
lbm;;;176,84;10,001001646
leslie3d;;;132,39;10,001517401
leslie3d;;;197,24;10,000977267
libquantum;;;119,31;10,001539691
libquantum;;;169,42;10,000978588
milc;;;104,44;10,001497584
milc;;;146,68;10,000956848
omnetpp;;;105,43;10,001320172
omnetpp;;;147,80;10,000856139
perlbench;;;114,42;10,001337245
perlbench;;;167,06;10,000832562
sjeng;;;105,06;10,001353434
sjeng;;;156,00;10,000835365
soplex;;;115,79;10,001411032
soplex;;;169,26;10,000982012
tonto;;;108,26;10,001204726
tonto;;;157,90;10,000774992
wrf;;;105,01;10,001341955
wrf;;;152,99;10,000837489
xalancbmk;;;107,11;10,001374606
xalancbmk;;;131,95;10,000928806
zeusmp;;;98,16;10,001450882
zeusmp;;;136,41;10,000850932
mcf_r;;;104,98;10,001386600
mcf_r;;;156,04;10,000865243
cactuBSSN_r;;;113,22;10,001466568
cactuBSSN_r;;;165,65;10,000936605
namd_r;;;114,77;10,001308878
namd_r;;;176,08;10,000829849
parest_r;;;108,23;10,001451354
parest_r;;;158,93;10,000883038
omnetpp_r;;;97,11;10,001385642
omnetpp_r;;;135,01;10,000899664
x264_r;;;39,33;10,001309540
x264_r;;;134,83;10,001240638
blender_r;;;108,09;10,001393246
blender_r;;;158,90;10,000848556
deepsjeng_r;;;104,00;10,001363562
deepsjeng_r;;;155,97;10,000833544
imagick_r;;;114,22;10,001246226
imagick_r;;;166,30;10,000807416
nab_r;;;103,50;10,001346581
nab_r;;;149,07;10,000836485
