APP;NUM;MODO;ENERGIA;TIEMPO
gcc;4;separado;111,58;10,001459560
gcc;8;separado;162,60;10,000915307
bwaves;4;separado;109,60;10,001493997
bwaves;8;separado;162,16;10,000947406
bzip2;4;separado;110,83;10,001321354
bzip2;8;separado;163,68;10,000818511
calculix;4;separado;101,54;10,001319621
calculix;8;separado;146,07;10,000817319
dealII;4;separado;111,99;10,001322358
dealII;8;separado;167,25;10,000800766
GemsFDTD;4;separado;113,44;10,001505890
GemsFDTD;8;separado;164,86;10,000951860
gobmk;4;separado;104,26;10,001342196
gobmk;8;separado;156,18;10,000824614
gromacs;4;separado;97,35;10,001317303
gromacs;8;separado;137,29;10,000818296
h264ref;4;separado;104,31;10,001311713
h264ref;8;separado;154,55;10,000816213
hmmer;4;separado;106,52;10,001208238
hmmer;8;separado;164,19;10,000745013
lbm;4;separado;114,19;10,001504344
lbm;8;separado;167,14;10,001008675
leslie3d;4;separado;122,77;10,001412321
leslie3d;8;separado;189,07;10,000934211
libquantum;4;separado;113,08;10,001508548
libquantum;8;separado;163,37;10,000982003
milc;4;separado;101,91;10,001495520
milc;8;separado;137,86;10,000943171
omnetpp;4;separado;100,08;10,001371866
omnetpp;8;separado;142,81;10,000851984
perlbench;4;separado;108,37;10,001344222
perlbench;8;separado;163,21;10,000822596
sjeng;4;separado;104,00;10,001297351
sjeng;8;separado;153,69;10,000833673
soplex;4;separado;111,65;10,001414271
soplex;8;separado;164,62;10,000920121
tonto;4;separado;104,19;10,001221319
tonto;8;separado;153,32;10,000764638
wrf;4;separado;102,50;10,001342529
wrf;8;separado;150,40;10,000832494
xalancbmk;4;separado;102,42;10,001360898
xalancbmk;8;separado;127,03;10,000931495
zeusmp;4;separado;93,26;10,001380564
zeusmp;8;separado;132,71;10,000874023
mcf_r;4;separado;104,03;10,001380862
mcf_r;8;separado;155,09;10,000852096
cactuBSSN_r;4;separado;107,31;10,001319942
cactuBSSN_r;8;separado;162,85;10,000927107
namd_r;4;separado;112,78;10,001355239
namd_r;8;separado;171,05;10,000799243
parest_r;4;separado;104,08;10,001462307
parest_r;8;separado;155,09;10,000859196
omnetpp_r;4;separado;93,69;10,001425090
omnetpp_r;8;separado;129,11;10,000899238
x264_r;4;separado;63,07;10,001353596
x264_r;8;separado;145,86;10,001173599
blender_r;4;separado;105,74;10,001340645
blender_r;8;separado;156,95;10,000885699
deepsjeng_r;4;separado;104,00;10,001365947
deepsjeng_r;8;separado;153,81;10,000838940
imagick_r;4;separado;112,18;10,001283972
imagick_r;8;separado;166,25;10,000800693
nab_r;4;separado;100,01;10,001342100
nab_r;8;separado;145,59;10,000833429
