APP;NUM;MODO;ENERGIA;TIEMPO
gcc;4;separado;187,63;10,003997209
gcc;8;separado;301,16;10,002996630
bwaves;4;separado;211,49;10,003954928
bwaves;8;separado;330,47;10,003822198
bzip2;4;separado;187,58;10,002948236
bzip2;8;separado;327,71;10,002974535
calculix;4;separado;166,78;10,001956185
calculix;8;separado;272,38;10,002962029
dealII;4;separado;195,32;10,003955906
dealII;8;separado;327,75;10,002969302
GemsFDTD;4;separado;195,50;10,001875371
GemsFDTD;8;separado;298,23;10,004396725
gobmk;4;separado;190,30;10,002110583
gobmk;8;separado;325,22;10,002960362
gromacs;4;separado;176,78;10,003966885
gromacs;8;separado;304,10;10,002875192
h264ref;4;separado;187,81;10,001961832
h264ref;8;separado;321,96;10,003954077
hmmer;4;separado;185,58;10,002896917
hmmer;8;separado;326,72;10,001955622
lbm;4;separado;191,55;10,002869986
lbm;8;separado;308,60;10,002939633
leslie3d;4;separado;214,29;10,001915235
leslie3d;8;separado;340,78;10,002796731
libquantum;4;separado;190,34;10,002833915
libquantum;8;separado;272,23;10,003965793
milc;4;separado;156,52;10,001954274
milc;8;separado;245,61;10,001904581
omnetpp;4;separado;178,72;10,003948605
omnetpp;8;separado;291,85;10,001623788
perlbench;4;separado;206,26;10,002932806
perlbench;8;separado;354,40;10,001879602
sjeng;4;separado;181,17;10,002948000
sjeng;8;separado;309,41;10,002976061
soplex;4;separado;198,55;10,003950846
soplex;8;separado;337,47;10,001960817
tonto;4;separado;190,30;10,001955472
tonto;8;separado;330,19;10,002957995
wrf;4;separado;175,10;10,002568911
wrf;8;separado;298,31;10,001967966
xalancbmk;4;separado;200,28;10,002897224
xalancbmk;8;separado;338,85;10,001889755
zeusmp;4;separado;151,04;10,001952177
zeusmp;8;separado;253,20;10,001862539
mcf_r;4;separado;173,88;10,001949012
mcf_r;8;separado;300,72;10,002953273
cactuBSSN_r;4;separado;218,73;10,001950982
cactuBSSN_r;8;separado;369,38;10,004008306
namd_r;4;separado;200,22;10,001961084
namd_r;8;separado;347,09;10,003920092
parest_r;4;separado;183,39;10,001923304
parest_r;8;separado;314,70;10,003953109
omnetpp_r;4;separado;173,95;10,003951306
omnetpp_r;8;separado;285,44;10,001959805
x264_r;4;separado;135,68;10,001340847
x264_r;8;separado;237,67;10,002956426
blender_r;4;separado;190,34;10,002957628
blender_r;8;separado;338,05;10,002961376
deepsjeng_r;4;separado;180,34;10,001952082
deepsjeng_r;8;separado;309,29;10,001899213
imagick_r;4;separado;185,62;10,001963095
imagick_r;8;separado;323,01;10,002962689
nab_r;4;separado;175,50;10,001958741
nab_r;8;separado;309,51;10,002880763
