APP;NUM;MODO;ENERGIA;TIEMPO
gcc;4;separado;94,96;10,001947182
gcc;8;separado;222,03;10,002908630
bwaves;4;separado;108,54;10,002948109
bwaves;8;separado;240,10;10,003790865
bzip2;4;separado;101,23;10,001947172
bzip2;8;separado;226,31;10,001895160
calculix;4;separado;84,59;10,002942629
calculix;8;separado;207,35;10,002941874
dealII;4;separado;99,94;10,002949250
dealII;8;separado;228,57;10,002954680
GemsFDTD;4;separado;108,17;10,001909827
GemsFDTD;8;separado;228,21;10,003780751
gobmk;4;separado;103,22;10,002944677
gobmk;8;separado;227,93;10,002952285
gromacs;4;separado;88,49;10,001940930
gromacs;8;separado;211,53;10,001818258
h264ref;4;separado;100,85;10,001945577
h264ref;8;separado;225,43;10,002956705
hmmer;4;separado;96,52;10,002930658
hmmer;8;separado;217,30;10,002934641
lbm;4;separado;104,33;10,001907159
lbm;8;separado;231,81;10,003885569
leslie3d;4;separado;124,41;10,001813132
leslie3d;8;separado;260,98;10,002854786
libquantum;4;separado;113,05;10,002932443
libquantum;8;separado;224,86;10,002933507
milc;4;separado;85,10;10,001945922
milc;8;separado;186,53;10,003898278
omnetpp;4;separado;100,16;10,002449670
omnetpp;8;separado;218,75;10,002938316
perlbench;4;separado;110,98;10,001915512
perlbench;8;separado;245,02;10,001924187
sjeng;4;separado;103,76;10,003950687
sjeng;8;separado;225,76;10,001954370
soplex;4;separado;114,99;10,002690569
soplex;8;separado;240,09;10,001864568
tonto;4;separado;103,35;10,001953352
tonto;8;separado;232,81;10,002936765
wrf;4;separado;87,71;10,003962835
wrf;8;separado;210,77;10,003982500
xalancbmk;4;separado;126,37;10,001920677
xalancbmk;8;separado;245,37;10,004011696
zeusmp;4;separado;85,32;10,001931368
zeusmp;8;separado;205,69;10,002862405
mcf_r;4;separado;95,39;10,001941337
mcf_r;8;separado;221,70;10,001936944
cactuBSSN_r;4;separado;118,02;10,002940823
cactuBSSN_r;8;separado;250,01;10,003925623
namd_r;4;separado;105,01;10,002948195
namd_r;8;separado;237,40;10,001914102
parest_r;4;separado;108,27;10,002935556
parest_r;8;separado;238,91;10,003864812
omnetpp_r;4;separado;102,05;10,002922606
omnetpp_r;8;separado;216,69;10,004414382
x264_r;4;separado;141,77;10,003938771
x264_r;8;separado;192,08;10,001379939
blender_r;4;separado;106,19;10,001946898
blender_r;8;separado;236,21;10,001975267
deepsjeng_r;4;separado;103,54;10,003763735
deepsjeng_r;8;separado;225,69;10,002931591
imagick_r;4;separado;83,92;10,001947898
imagick_r;8;separado;204,97;10,003950016
nab_r;4;separado;93,90;10,003975814
nab_r;8;separado;216,84;10,003950049
