APP;NUM;MODO;ENERGIA;TIEMPO
gcc;16;smt;258,27;10,000920953
bwaves;16;smt;239,27;10,000981427
bzip2;16;smt;272,53;10,000840776
calculix;16;smt;247,09;10,000808459
dealII;16;smt;284,44;10,000813536
GemsFDTD;16;smt;226,59;10,001094217
gobmk;16;smt;259,58;10,000837781
gromacs;16;smt;225,25;10,000845117
h264ref;16;smt;258,37;10,000820157
hmmer;16;smt;270,71;10,000792849
lbm;16;smt;208,01;10,001320496
leslie3d;16;smt;265,39;10,001065689
libquantum;16;smt;222,07;10,001000532
milc;16;smt;206,34;10,001022332
omnetpp;16;smt;238,05;10,000894023
perlbench;16;smt;253,68;10,001362596
sjeng;16;smt;250,00;10,000838594
soplex;16;smt;258,47;10,001033332
tonto;16;smt;255,96;10,000808595
wrf;16;smt;250,70;10,000840442
xalancbmk;16;smt;184,34;10,000947722
zeusmp;16;smt;214,59;10,000904096
mcf_r;16;smt;244,98;10,000953619
cactuBSSN_r;16;smt;242,06;10,000919617
namd_r;16;smt;293,79;10,000848916
parest_r;16;smt;252,01;10,000913612
omnetpp_r;16;smt;204,00;10,000960913
x264_r;16;smt;222,62;10,001223537
blender_r;16;smt;250,94;10,000875375
deepsjeng_r;16;smt;249,43;10,000848121
imagick_r;16;smt;278,56;10,000756767
nab_r;16;smt;241,83;10,000827721
