APP;NUM;MODO;ENERGIA;TIEMPO
gcc;32;TODO;508,09;10,004828674
bwaves;32;TODO;436,24;10,006372432
bzip2;32;TODO;579,50;10,005151393
calculix;32;TODO;20,80;10,001242695
dealII;32;TODO;594,67;10,004103767
GemsFDTD;32;TODO;20,74;10,001196058
gobmk;32;TODO;524,58;10,001243140
gromacs;32;TODO;20,74;10,001220776
h264ref;32;TODO;20,75;10,001187631
hmmer;32;TODO;568,79;10,001204094
lbm;32;TODO;366,50;10,011388566
leslie3d;32;TODO;20,77;10,001388835
libquantum;32;TODO;20,77;10,001209163
milc;32;TODO;374,13;10,005644939
omnetpp;32;TODO;20,80;10,001257766
perlbench;32;TODO;20,78;10,001199134
sjeng;32;TODO;559,59;10,004515811
soplex;32;TODO;462,56;10,005140880
tonto;32;TODO;579,58;10,003911784
wrf;32;TODO;532,01;10,010808879
xalancbmk;32;TODO;20,76;10,001206646
zeusmp;32;TODO;493,57;10,005091740
mcf_r;32;TODO;540,23;10,004618877
cactuBSSN_r;32;TODO;20,77;10,001219112
namd_r;32;TODO;623,95;10,004629873
parest_r;32;TODO;20,75;10,001215398
omnetpp_r;32;TODO;20,75;10,001229144
x264_r;32;TODO;196,62;10,001821718
blender_r;32;TODO;20,74;10,001409120
deepsjeng_r;32;TODO;20,74;10,001208016
imagick_r;32;TODO;20,77;10,001231885
nab_r;32;TODO;546,91;10,002011291
