APP;NUM;MODO;ENERGIA;TIEMPO
gcc;16;smt;377,05;10,003350991
bwaves;16;smt;368,61;10,001686778
bzip2;16;smt;390,65;10,003848119
calculix;16;smt;353,52;10,003958824
dealII;16;smt;391,67;10,003952519
GemsFDTD;16;smt;324,11;10,004961912
gobmk;16;smt;389,11;10,003860964
gromacs;16;smt;359,46;10,003898793
h264ref;16;smt;384,78;10,001896206
hmmer;16;smt;375,46;10,003942856
lbm;16;smt;285,73;10,002911012
leslie3d;16;smt;381,47;10,003927960
libquantum;16;smt;298,52;10,002945144
milc;16;smt;284,60;10,001951446
omnetpp;16;smt;342,67;10,001919576
perlbench;16;smt;413,92;10,001947491
sjeng;16;smt;380,48;10,003838143
soplex;16;smt;368,54;10,003025102
tonto;16;smt;393,35;10,001813616
wrf;16;smt;354,22;10,002973977
xalancbmk;16;smt;352,98;10,002924189
zeusmp;16;smt;341,26;10,001930508
mcf_r;16;smt;368,01;10,003825054
cactuBSSN_r;16;smt;414,72;10,002760973
namd_r;16;smt;404,13;10,003955407
parest_r;16;smt;402,08;10,003408660
omnetpp_r;16;smt;335,87;10,003849861
x264_r;16;smt;323,79;10,001364427
blender_r;16;smt;396,41;10,003946920
deepsjeng_r;16;smt;375,72;10,001965738
imagick_r;16;smt;340,83;10,003952162
nab_r;16;smt;364,89;10,001909050
