politica,mezcla,run,app,ipc,nucleos,tiempo
1,0,1,gamess,3.5425496030178154,0,98.6
1,0,1,gobmk,1.4753858945487122,185,94.8
1,0,1,zeusmp,1.429358093100576,181,100.6
1,0,1,mcf_r,0.7900813955177466,1,286.2
1,0,1,lbm,1.58452351025912,265,85.6
1,0,1,lbmREPEAT,1.5864709353937196,251,82.4
1,0,1,deepsjeng_r,1.893472145194236,98,73.2
1,0,1,nab_r,2.035991366911727,54,74.0
1,0,1,,3.120009063140578,78,212.8
1,0,1,REPEAT,1.837063047729091,2939,1181.0
1,0,2,gamess,3.567928285316628,0,97.8
1,0,2,gobmk,1.4737713115769213,185,94.6
1,0,2,zeusmp,1.4228152044210576,181,101.6
1,0,2,mcf_r,0.7934262949799747,1,285.0
1,0,2,lbm,1.5900862657401447,263,84.4
1,0,2,lbmREPEAT,1.5953300564225747,255,83.8
1,0,2,deepsjeng_r,1.888995280852064,97,74.0
1,0,2,nab_r,2.03615178457088,52,74.6
1,0,2,,3.1547457688228735,58,210.8
1,0,2,REPEAT,1.8017061137524155,2970,1173.0
1,1,1,xalancbmk,1.5965987629104035,17,167.4
1,1,1,bzip2,1.5301401709985005,245,127.0
1,1,1,mcf_r,0.8210080299554126,5,274.2
1,1,1,hmmer,1.5628870734163152,154,96.6
1,1,1,GemsFDTD,2.702977666297568,32,94.4
1,1,1,tonto,1.6997836628654848,70,147.8
1,1,1,libquantum,3.698294948126802,2,111.2
1,1,1,imagick_r,4.526780965092826,0,36.6
1,1,1,,1.3179269576249357,193,237.4
1,1,1,REPEAT,3.2371360016910122,2288,900.6
1,1,2,xalancbmk,1.6059239161310723,29,162.6
1,1,2,bzip2,1.5138176663595064,227,133.4
1,1,2,mcf_r,0.8186223067901287,5,274.8
1,1,2,hmmer,1.5657619548669912,142,98.4
1,1,2,GemsFDTD,2.7059297120435337,32,94.4
1,1,2,tonto,1.7000453638623976,69,147.6
1,1,2,libquantum,3.700088997471232,2,111.2
1,1,2,imagick_r,4.531661624444059,0,36.6
1,1,2,,1.304326825372708,185,238.0
1,1,2,REPEAT,3.248572153011565,2264,901.0
1,2,1,gamess,3.5703690090222344,0,97.6
1,2,1,leslie3d,3.369245768201226,0,101.6
1,2,1,milc,1.0367542201658881,10,160.6
1,2,1,lbm_r,2.988041697106138,0,55.6
1,2,1,mcf,0.5286098683732247,15,269.4
1,2,1,sphinx3,1.417604903987084,7,205.0
1,2,1,namd,2.0846879859906102,37,134.2
1,2,1,namdREPEAT,2.1019830800574884,36,132.2
1,2,1,,3.580721103170672,0,213.6
1,2,1,REPEAT,2.0949796962495246,2824,785.0
1,2,2,gamess,3.5843399575204886,0,97.4
1,2,2,leslie3d,3.368214910720882,0,101.6
1,2,2,milc,1.0432071430266354,10,159.6
1,2,2,lbm_r,2.9676305677241728,0,56.0
1,2,2,mcf,0.5367562785267075,17,265.6
1,2,2,sphinx3,1.404700027542302,7,206.4
1,2,2,namd,2.0580509842562202,34,139.0
1,2,2,namdREPEAT,2.1383643727675046,26,130.0
1,2,2,,3.583656894978553,0,209.4
1,2,2,REPEAT,2.0909093395973026,2693,759.4
1,3,1,astar,1.1889440335710513,2,157.0
1,3,1,mcf_r,0.8329751616334234,37,272.2
1,3,1,hmmer,1.5799110541313208,4,101.0
1,3,1,leela_r,1.5436180419505612,14,105.6
1,3,1,sjeng,1.8941754933439872,0,101.8
1,3,1,mcf_rREPEAT,0.8239634777999764,9,250.8
1,3,1,omnetpp_r,0.7396965672968573,1,305.2
1,3,1,nab_r,2.112492627110429,2,78.2
1,3,1,,1.2636445759389385,107,226.8
1,3,1,REPEAT,1.5719859931983529,1490,842.6
1,3,2,astar,1.1869799993016459,2,157.2
1,3,2,mcf_r,0.8340536955220521,41,270.4
1,3,2,hmmer,1.5807303232814456,0,101.6
1,3,2,leela_r,1.5438429893997978,22,104.4
1,3,2,sjeng,1.8994963586016151,0,101.6
1,3,2,mcf_rREPEAT,0.8248135711636785,15,249.0
1,3,2,omnetpp_r,0.7411487573543051,1,304.6
1,3,2,nab_r,2.1073270429389117,4,78.2
1,3,2,,1.2651939765017226,109,226.2
1,3,2,REPEAT,1.5704051632416751,1516,843.2
2,0,1,gamess,2.7133370999670814,1,175.0
2,0,1,gobmk,1.497734416479163,32,104.8
2,0,1,zeusmp,1.520680305323963,79,100.2
2,0,1,mcf_r,0.928596931981041,0,178.8
2,0,1,lbm,1.646985986254698,70,110.4
2,0,1,lbmREPEAT,1.6798422107363484,30,108.4
2,0,1,deepsjeng_r,1.9327162634561432,5,115.4
2,0,1,nab_r,1.5883615240977678,17,134.6
2,0,1,,2.0612020159774365,29,78.4
2,0,1,REPEAT,1.6873913723106513,945,324.0
2,0,2,gamess,2.707387742287244,1,175.4
2,0,2,gobmk,1.5009592798377653,26,106.0
2,0,2,zeusmp,1.523399482555682,90,97.4
2,0,2,mcf_r,0.9278250243746614,0,178.8
2,0,2,lbm,1.6417035915758684,30,113.0
2,0,2,lbmREPEAT,1.6402093539987306,67,107.6
2,0,2,deepsjeng_r,1.8647243293260474,5,119.6
2,0,2,nab_r,1.5968054425545335,19,132.8
2,0,2,,2.0826867241373597,37,81.2
2,0,2,REPEAT,1.6607928894977384,1010,318.2
2,1,1,xalancbmk,2.5089685268322035,177,65.6
2,1,1,bzip2,1.6616437770347139,60,132.4
2,1,1,mcf_r,0.9174698159002017,0,182.0
2,1,1,hmmer,1.5786456405069869,5,104.8
2,1,1,GemsFDTD,2.314367596945462,234,84.8
2,1,1,tonto,1.8696846039440906,117,119.8
2,1,1,libquantum,2.659324049435939,11,208.0
2,1,1,imagick_r,3.3457140066088162,1,67.2
2,1,1,,1.5173775994546514,5,142.2
2,1,1,REPEAT,2.389990449774181,1459,556.8
2,1,2,xalancbmk,2.472737224534521,187,65.0
2,1,2,bzip2,1.6540819775452664,55,133.6
2,1,2,mcf_r,0.9167577246725741,0,182.2
2,1,2,hmmer,1.5770620850153698,8,104.4
2,1,2,GemsFDTD,2.3760875266223773,223,83.2
2,1,2,tonto,1.892225714421007,107,120.0
2,1,2,libquantum,2.6905448810810366,13,205.2
2,1,2,imagick_r,3.594603612579282,1,62.6
2,1,2,,1.5211444810041543,5,142.4
2,1,2,REPEAT,1.8856944992156346,1382,542.6
2,2,1,gamess,2.610228549082413,1,182.0
2,2,1,leslie3d,2.488120345951244,1,187.2
2,2,1,milc,1.3743005388991731,8,89.4
2,2,1,lbm_r,1.8931560898668496,15,115.2
2,2,1,mcf,0.8991125601362658,4,118.2
2,2,1,sphinx3,2.022679014541826,4,105.8
2,2,1,namd,2.09164621684422,348,71.2
2,2,1,namdREPEAT,2.101935534140514,345,70.8
2,2,1,,1.90540587887353,99,116.2
2,2,1,REPEAT,2.090213076215452,1358,441.2
2,2,2,gamess,2.6121297930356397,1,181.8
2,2,2,leslie3d,2.487887124401367,1,187.2
2,2,2,milc,1.3744489147126937,8,89.4
2,2,2,lbm_r,1.9195024455916154,25,110.8
2,2,2,mcf,0.9294811316697041,16,112.8
2,2,2,sphinx3,2.0272972731091023,4,105.6
2,2,2,namd,2.092530826382221,347,71.2
2,2,2,namdREPEAT,2.098501134848982,346,70.8
2,2,2,,1.9034768887888223,96,116.2
2,2,2,REPEAT,2.0917858595951353,1364,451.4
2,3,1,astar,1.1821820622735817,1,132.8
2,3,1,mcf_r,0.9394339364145917,0,176.8
2,3,1,hmmer,1.567307246906343,1,139.4
2,3,1,leela_r,1.5192597772659995,4,133.8
2,3,1,sjeng,1.7623973254114578,1,149.2
2,3,1,mcf_rREPEAT,0.9402348769855612,0,176.6
2,3,1,omnetpp_r,1.0579796320567716,2,156.8
2,3,1,nab_r,1.5668598871428507,3,142.4
2,3,1,,2.2842903743705882,0,43.8
2,3,1,REPEAT,1.274855105050822,575,162.4
2,3,2,astar,1.1855949340903094,1,132.4
2,3,2,mcf_r,0.9385824087450813,0,176.8
2,3,2,hmmer,1.568527343904056,1,139.4
2,3,2,leela_r,1.518246622695618,4,133.8
2,3,2,sjeng,1.7609532353426403,1,149.2
2,3,2,mcf_rREPEAT,0.9402065319386111,0,176.6
2,3,2,omnetpp_r,1.056796752366817,2,157.0
2,3,2,nab_r,1.566827487074775,3,142.4
2,3,2,,2.312474488315478,0,44.2
2,3,2,REPEAT,1.2740384716288102,573,162.2
