politica,mezcla,run,app,ipc,nucleos,tiempo     //YA USADO 
5,0,1,gamess,3.258646101472743,102,101.0
5,0,1,gobmk,1.4653687987719541,120,103.0
5,0,1,zeusmp,1.4138438080377522,116,106.2
5,0,1,mcf_r,0.8577760871215361,209,186.4
5,0,1,lbm,1.5727863254723353,147,107.8
5,0,1,lbmREPEAT,1.5731805147645048,121,104.2
5,0,1,deepsjeng_r,1.9031417067791545,133,74.2
5,0,1,nab_r,1.8226484663327016,120,81.8
5,0,2,gamess,3.1776207873138556,108,107.0
5,0,2,gobmk,1.4818989724291782,117,102.2
5,0,2,zeusmp,1.4223200828052271,120,104.2
5,0,2,mcf_r,0.8648051757980681,210,184.0
5,0,2,lbm,1.5947822587575473,128,107.0
5,0,2,lbmREPEAT,1.5952433274907494,105,103.6
5,0,2,deepsjeng_r,1.8971926450024963,133,74.4
5,0,2,nab_r,1.8501202035686837,138,76.6
5,1,1,xalancbmk,2.034021443461197,104,96.8
5,1,1,bzip2,1.6084148705710803,188,118.8
5,1,1,mcf_r,0.8528086404767614,218,185.0
5,1,1,hmmer,1.57170059726117,103,100.2
5,1,1,GemsFDTD,2.325561095687707,133,103.6
5,1,1,tonto,1.8237803030839026,140,114.6
5,1,1,libquantum,3.1605513060993515,183,115.4
5,1,1,imagick_r,4.208149645020094,46,36.8
5,1,2,xalancbmk,2.022501726212462,114,96.2
5,1,2,bzip2,1.5961493982791248,184,120.8
5,1,2,mcf_r,0.8441633172027224,221,187.4
5,1,2,hmmer,1.572714965236797,102,100.8
5,1,2,GemsFDTD,2.330562307598715,124,104.4
5,1,2,tonto,1.80924618129999,145,114.2
5,1,2,libquantum,3.159925427827586,180,116.2
5,1,2,imagick_r,4.190863971144933,48,36.8
5,2,1,gamess,3.2311753913251993,122,98.2
5,2,1,leslie3d,2.7063973400374164,125,124.8
5,2,1,milc,1.1376649222929758,142,98.8
5,2,1,lbm_r,2.4461214115522707,112,56.2
5,2,1,mcf,0.6224478589809972,174,167.8
5,2,1,sphinx3,1.6921075713259985,164,115.8
5,2,1,namd,2.182344447813804,115,108.6
5,2,1,namdREPEAT,2.1853041470452332,115,108.4
5,2,2,gamess,3.2264826584515505,122,99.4
5,2,2,leslie3d,2.7686119044415936,134,119.4
5,2,2,milc,1.143721359473244,148,96.6
5,2,2,lbm_r,2.3369475186854323,103,61.0
5,2,2,mcf,0.6485747005751892,167,161.2
5,2,2,sphinx3,1.6609588535205668,171,117.2
5,2,2,namd,2.17430980288854,121,108.2
5,2,2,namdREPEAT,2.1836234838017985,117,108.2
5,3,1,astar,1.0894360653457544,146,127.2
5,3,1,mcf_r,0.8804270079073082,238,172.4
5,3,1,hmmer,1.5722386222013904,113,93.2
5,3,1,leela_r,1.5238200097699521,120,100.4
5,3,1,sjeng,1.8336270497135412,107,97.6
5,3,1,mcf_rREPEAT,0.8796049475380749,234,172.0
5,3,1,omnetpp_r,0.9014273532544308,250,161.4
5,3,1,nab_r,1.836168975392096,94,87.8
5,3,2,astar,1.0838114093089153,150,127.4
5,3,2,mcf_r,0.877944059354067,248,173.0
5,3,2,hmmer,1.5734429262821759,110,94.0
5,3,2,leela_r,1.5226077135747924,123,99.6
5,3,2,sjeng,1.8317574714521636,111,97.4
5,3,2,mcf_rREPEAT,0.8783122380111161,230,170.6
5,3,2,omnetpp_r,0.9043977403292651,253,160.2
5,3,2,nab_r,1.8249933826677056,94,88.6
