politica;mezcla;run;energia;timepo
0;1;0;2.664,92;109,458220103
0;1;1;2.624,73;109,225040032
0;2;0;3.742,21;155,732122939
0;2;1;3.764,46;158,724193923
0;3;0;3.424,15;138,067649682
0;3;1;3.262,41;134,632054128
0;4;0;2.509,07;109,417860701
0;4;1;2.504,86;109,431662789
1;1;0;2.174,86;92,379672940
1;1;1;2.188,15;93,194110032
1;2;0;2.196,75;89,006597491
1;2;1;2.164,89;87,983555210
1;3;0;3.648,62;144,156459382
1;3;1;3.641,34;144,124765665
1;4;0;2.077,79;92,725353073
1;4;1;2.076,26;92,758566111
2;1;0;2.506,21;109,475499043
2;1;1;2.516,80;109,858204788
2;2;0;2.767,54;117,904212866
2;2;1;2.709,74;115,248178995
2;3;0;3.024,08;127,021736782
2;3;1;3.043,85;128,051172250
2;4;0;2.455,08;107,012038793
2;4;1;2.449,26;106,624438104
3;1;0;1.233,05;53,844611183
3;1;1;1.234,44;53,680984831
3;2;0;1.261,05;51,601941534
3;2;1;1.257,28;51,392860495
3;3;0;1.613,59;66,472414279
3;3;1;1.633,96;67,250559988
3;4;0;1.166,00;51,874324886
3;4;1;1.188,14;52,905301095
