App,Core,Time
astar,12,241.965216861
astar,22,379.612399227
blender_r,22,537.020068228
blender_r,2,255.023709865
bwaves,19,733.480097938
bwaves,8,278.022643743
bwaves_r,19,.211180757
bwaves_r,6,.206110234
bzip2,17,167.098774446
bzip2,4,96.506230878
cactuBSSN_r,19,.207151807
cactuBSSN_r,6,.206367070
cactusADM,10,.206300555
cactusADM,26,.207351609
calculix,14,1394.314879065
calculix,29,2499.121357773
cam4_r,28,.207098194
cam4_r,6,.205228161
dealII,14,.206468922
dealII,30,.206605078
deepsjeng_r,16,487.362996862
deepsjeng_r,6,320.426402225
exchange2_r,25,.206951856
exchange2_r,2,.205241291
fotonik3d_r,25,.207084729
fotonik3d_r,2,.205205479
gamess,10,108.218478280
gamess,20,1436.724818317
gcc,18,100.093803453
gcc,6,48.247106017
gcc_r,19,.207213043
gcc_r,2,.206143838
GemsFDTD,12,.206241341
GemsFDTD,18,.207120284
gobmk,14,.206357669
gobmk,29,.408233293
gromacs,25,776.374919025
gromacs,4,374.484032279
h264ref,17,628.624557340
h264ref,4,375.170985508
hmmer,10,513.708368615
hmmer,30,711.131976398
imagick_r,28,1095.872641448
imagick_r,8,387.034071517
lbm,16,602.040286399
lbm,2,279.824466655
lbm_r,12,163.923847626
lbm_r,25,417.454204397
leela_r,24,731.572784061
leela_r,4,497.618267500
leslie3d,10,291.781446392
leslie3d,27,564.088938393
libquantum,12,396.056491114
libquantum,18,979.670856800
mcf,14,241.134659635
mcf,22,495.534030558
mcf_r,21,552.382197293
mcf_r,2,335.189790874
mcf_train,12,7.667093110
mcf_train,21,17.056802990
milc,12,428.645193757
milc,23,717.982002697
nab_r,10,273.754498748
nab_r,18,509.916727298
namd,28,864.017057846
namd,2,396.669957949
namd_r,19,.207096687
namd_r,6,.206309357
omnetpp,26,503.531462280
omnetpp,6,288.295880196
omnetpp_r,12,366.123044656
omnetpp_r,26,766.057495481
parest_r,25,.207072903
parest_r,6,.206307093
perlbench,16,270.370634641
perlbench,2,140.354785858
perlbench_r,19,.207264269
perlbench_r,2,.206327149
povray,26,264.042194017
povray,8,140.432896003
povray_r,19,650.874771232
povray_r,6,323.139243633
roms_r,25,.207095653
roms_r,2,.205203085
sjeng,21,737.994314965
sjeng,8,481.555435911
soplex,14,131.879516857
soplex,31,219.633105503
sphinx3,23,937.230679974
sphinx3,8,455.698256956
tonto,2,135.267150544
tonto,31,1243.499403921
wrf,27,1230.989348067
wrf,4,574.838087056
wrf_r,17,.208209511
wrf_r,2,.205165276
x264_r,28,.206866970
x264_r,2,.206290709
xalancbmk,10,389.243811256
xalancbmk,30,627.489866263
xalancbmk_r,10,236.094942585
xalancbmk_r,17,555.360536514
xz_r,25,.206939510
xz_r,2,.205209602
zeusmp,24,1076.127616642
zeusmp,6,638.850923100
