mezcla,politica,run,app,ipc,nucleos
1,0,1,gamess,3.5480138129777736,0
1,0,1,gobmk,1.5025459742713572,0
1,0,1,zeusmp,1.2875768414801774,0
1,0,1,mcf_r,0.9635342927310878,0
1,0,1,lbm,1.366842255764551,0
1,0,1,lbmREPEAT,1.3666545180382736,0
1,0,1,deepsjeng_r,1.9368348831777968,0
1,0,1,nab_r,1.5702860972714088,0
1,0,2,gamess,3.5478493722537863,0
1,0,2,gobmk,1.502497056790289,0
1,0,2,zeusmp,1.2837623533998472,0
1,0,2,mcf_r,0.9405617176215119,0
1,0,2,lbm,1.3669857846893345,0
1,0,2,lbmREPEAT,1.3667778690712409,0
1,0,2,deepsjeng_r,1.9371790684866332,0
1,0,2,nab_r,1.5756730049073353,0
1,0,3,gamess,3.5475099668649848,0
1,0,3,gobmk,1.5030169437869776,0
1,0,3,zeusmp,1.2644740796093286,0
1,0,3,mcf_r,0.9238231736662811,0
1,0,3,lbm,1.3661104163884,0
1,0,3,lbmREPEAT,1.3662292749144818,0
1,0,3,deepsjeng_r,1.9374454218373012,0
1,0,3,nab_r,1.572376046001431,0
1,1,1,gamess,3.5464539356887537,0
1,1,1,gobmk,1.4452390321348876,229
1,1,1,zeusmp,1.1338247412371643,39
1,1,1,mcf_r,0.829256789028479,7
1,1,1,lbm,1.5943170312582282,71
1,1,1,lbmREPEAT,1.6323880507327337,76
1,1,1,deepsjeng_r,1.9275700614967097,20
1,1,1,nab_r,2.048732101834951,84
1,1,2,gamess,3.5851556965249616,0
1,1,2,gobmk,1.4388938898486274,203
1,1,2,zeusmp,1.1298458150202932,27
1,1,2,mcf_r,0.8367943034863828,5
1,1,2,lbm,1.6301793934518354,78
1,1,2,lbmREPEAT,1.6269323064968166,74
1,1,2,deepsjeng_r,1.9242766646312917,12
1,1,2,nab_r,2.0406333346903094,67
1,1,3,gamess,3.574640166308954,0
1,1,3,gobmk,1.444880924769256,227
1,1,3,zeusmp,1.131340736152818,43
1,1,3,mcf_r,0.8326314840932206,13
1,1,3,lbm,1.5750885341752008,63
1,1,3,lbmREPEAT,1.6302631432616062,100
1,1,3,deepsjeng_r,1.9300224525587901,14
1,1,3,nab_r,2.071961247609469,62
1,2,1,gamess,2.690982111625194,1
1,2,1,gobmk,1.5085001005711796,1020
1,2,1,zeusmp,1.3018651111898183,700
1,2,1,mcf_r,0.972901113698431,42
1,2,1,lbm,1.6270340508578423,2900
1,2,1,lbmREPEAT,1.6262590544377458,2899
1,2,1,deepsjeng_r,1.908628800652993,73
1,2,1,nab_r,1.7938541849399285,1739
1,2,2,gamess,2.6761723026997384,1
