mezcla,politica,run,app,ipc,nucleos
2,5,1,xalancbmk,1.3315724525425492,146,599.8
2,5,1,bzip2,1.589616022108117,163,599.8
2,5,1,mcf_r,0.8783878111546476,61,599.8
2,5,1,hmmer,1.5356309617044552,1,599.8
2,5,1,GemsFDTD,2.231259536146463,61,599.8
2,5,1,tonto,1.6386586676029926,133,599.8
2,5,1,libquantum,3.525336545999332,55,599.8
2,5,1,imagick_r,3.5688207427755017,56,599.8
2,5,2,xalancbmk,1.3157128099134108,124,599.8
2,5,2,bzip2,1.5849196141169448,138,599.8
2,5,2,mcf_r,0.8759767215239536,75,599.8
2,5,2,hmmer,1.5312627494856446,1,599.8
2,5,2,GemsFDTD,2.17198250349939,87,599.8
2,5,2,tonto,1.639372066323899,140,599.8
2,5,2,libquantum,3.545057339499528,57,599.8
2,5,2,imagick_r,3.678057699672796,50,599.8
3,5,1,gamess,3.3069091091334983,166,599.8
3,5,1,leslie3d,3.2056738096089155,60,599.8
3,5,1,milc,1.0720089779244335,69,599.8
3,5,1,lbm_r,2.654656836350636,64,599.8
3,5,1,mcf,0.5542176904150442,10,599.8
3,5,1,sphinx3,1.6189307771433235,98,599.8
3,5,1,namd,2.2053709839401288,186,599.8
3,5,1,namdREPEAT,2.230379577324346,185,599.8
3,5,2,gamess,3.281469053991645,198,599.8
3,5,2,leslie3d,3.225957349424902,34,599.8
3,5,2,milc,1.0717089593750895,65,599.8
3,5,2,lbm_r,2.6043409984701182,74,599.8
3,5,2,mcf,0.5527660826394768,10,599.8
3,5,2,sphinx3,1.6287162344303425,116,599.8
3,5,2,namd,2.228611964419179,183,599.8
3,5,2,namdREPEAT,2.2171280098939055,200,599.8
4,5,1,astar,1.2871817796092802,43,599.8
4,5,1,mcf_r,0.9203262066729381,111,599.8
4,5,1,hmmer,1.5591446606236588,33,599.8
4,5,1,leela_r,1.4626781709601642,114,599.8
4,5,1,sjeng,1.8977257449531741,65,599.8
4,5,1,mcf_rREPEAT,0.9246678261065772,93,599.8
4,5,1,omnetpp_r,0.993499869734465,95,599.8
4,5,1,nab_r,2.0148626513655596,100,599.8
4,5,2,astar,1.2830000201854015,37,599.8
4,5,2,mcf_r,0.9114372578111956,99,599.8
4,5,2,hmmer,1.5570119846393895,27,599.8
4,5,2,leela_r,1.4622634049552006,113,599.8
4,5,2,sjeng,1.8920192417625996,99,599.8
4,5,2,mcf_rREPEAT,0.9114458037316058,99,599.8
4,5,2,omnetpp_r,0.9961990503760869,65,599.8
4,5,2,nab_r,2.01835255205262,103,599.8
