politica,mezcla,run,app,ipc,nucleos,tiempo
4,1,1,gamess,3.467128963702658,14,61.4
4,1,1,gobmk,1.4252296083723304,17,75.8
4,1,1,zeusmp,1.4910952960607415,12,67.0
4,1,1,mcf_r,0.8725491334713392,14,74.2
4,1,1,lbm,1.5539138837854183,13,71.4
4,1,1,lbmREPEAT,1.6677258423821468,12,60.6
4,1,1,deepsjeng_r,1.849917015504034,18,76.2
4,1,1,nab_r,2.0015103110631087,13,62.8
4,1,2,gamess,3.4994154383049096,14,60.8
4,1,2,gobmk,1.4560630909901562,13,72.4
4,1,2,zeusmp,1.410907325047188,10,74.8
4,1,2,mcf_r,0.8535117725209398,15,75.8
4,1,2,lbm,1.5684650447197246,11,69.4
4,1,2,lbmREPEAT,1.5935296215788366,11,66.6
4,1,2,deepsjeng_r,1.8944163688297955,18,74.4
4,1,2,nab_r,1.9679199737822455,13,63.8
4,2,1,xalancbmk,2.505465575709873,13,68.6
4,2,1,bzip2,1.6148273363907426,12,66.4
4,2,1,mcf_r,0.849594046578175,17,78.4
4,2,1,hmmer,1.568042365655566,13,73.2
4,2,1,GemsFDTD,2.547675736082568,13,63.6
4,2,1,tonto,2.3271834954628714,12,68.4
4,2,1,libquantum,3.1270595358673114,13,69.0
4,2,1,imagick_r,4.288438835595137,12,64.4
4,2,2,xalancbmk,2.5663412456200163,13,66.6
4,2,2,bzip2,1.6034335413780438,12,67.0
4,2,2,mcf_r,0.8509221178241664,15,76.2
4,2,2,hmmer,1.5671760296528783,13,73.2
4,2,2,GemsFDTD,2.282169039217713,15,74.4
4,2,2,tonto,2.3544757867720945,11,67.0
4,2,2,libquantum,3.097120383828356,13,69.6
4,2,2,imagick_r,4.278463137963042,12,64.4
4,3,1,gamess,3.4970268351269227,14,61.0
4,3,1,leslie3d,2.6054673100305097,14,82.4
4,3,1,milc,1.0782845565476518,21,94.6
4,3,1,lbm_r,2.422555334636869,16,81.4
4,3,1,mcf,0.6570008879890618,21,108.0
4,3,1,sphinx3,1.679488089451975,11,79.4
4,3,1,namd,2.320515232504076,13,66.4
4,3,1,namdREPEAT,2.332455609378252,13,66.2
4,3,2,gamess,3.4822216607255747,14,61.2
4,3,2,leslie3d,2.547743192904986,17,85.6
4,3,2,milc,1.0837157613516653,21,94.4
4,3,2,lbm_r,2.146906634110931,16,95.2
4,3,2,mcf,0.7057569101314859,17,98.6
4,3,2,sphinx3,1.6559666085110734,15,81.4
4,3,2,namd,2.411268934144139,13,61.8
4,3,2,namdREPEAT,2.4141578384004867,13,61.8
4,4,1,astar,0.6822274399918432,15,73.0
4,4,1,mcf_r,0.878247515555045,15,73.4
4,4,1,hmmer,1.5789895835548455,14,59.2
4,4,1,leela_r,1.490416794167926,16,73.8
4,4,1,sjeng,1.8595260221181513,11,62.2
4,4,1,mcf_rREPEAT,0.8890770616216086,12,71.2
4,4,1,omnetpp_r,0.9268667192375616,12,56.0
4,4,1,nab_r,2.0319550749917856,13,60.0
4,4,2,astar,0.6721598007997507,16,73.8
4,4,2,mcf_r,0.8777486962479639,17,75.6
4,4,2,hmmer,1.579490409369872,14,59.0
4,4,2,leela_r,1.48295599358253,16,74.2
4,4,2,sjeng,1.8773779194132656,13,59.4
4,4,2,mcf_rREPEAT,0.8737042590262889,13,72.4
4,4,2,omnetpp_r,0.9101294395897109,11,59.2
4,4,2,nab_r,2.025456112990632,13,60.2
