politica,mezcla,run,app,ipc,nucleos,tiempo
5,1,1,gamess,3.4997543105680644,14,60.8
5,1,1,gobmk,1.4466029635038988,68,59.0
5,1,1,zeusmp,1.437418337791571,72,59.6
5,1,1,mcf_r,0.873105333203603,66,57.4
5,1,1,lbm,1.5313657053842977,73,62.2
5,1,1,lbmREPEAT,1.5313505414738662,72,61.6
5,1,1,deepsjeng_r,1.9049421714431676,64,57.0
5,1,1,nab_r,1.8262622679426148,79,63.2
5,1,2,gamess,3.4807336208503274,14,61.2
5,1,2,gobmk,1.4593468658487665,59,57.8
5,1,2,zeusmp,1.42929401382573,73,60.6
5,1,2,mcf_r,0.8654582705941346,67,59.0
5,1,2,lbm,1.547897086394527,72,61.4
5,1,2,lbmREPEAT,1.5510411892063765,75,60.6
5,1,2,deepsjeng_r,1.8986161577098208,68,56.8
5,1,2,nab_r,1.8318111660656011,78,62.4
5,2,1,xalancbmk,2.513680210195036,48,62.6
5,2,1,bzip2,1.5787615090761287,58,61.4
5,2,1,mcf_r,0.8366296688131363,17,79.6
5,2,1,hmmer,1.5764892882747226,45,55.4
5,2,1,GemsFDTD,2.178719330328659,46,76.4
5,2,1,tonto,2.74466715514808,45,49.8
5,2,1,libquantum,3.0857308045733616,33,65.8
5,2,1,imagick_r,4.305760348844645,43,57.6
5,2,2,xalancbmk,2.3818508849052535,68,65.2
5,2,2,bzip2,1.606606282096099,46,64.4
5,2,2,mcf_r,0.8236864714989883,22,79.0
5,2,2,hmmer,1.5750122798414077,62,54.0
5,2,2,GemsFDTD,2.193495190341791,43,74.2
5,2,2,tonto,2.7548984268716494,53,49.0
5,2,2,libquantum,3.1419129761511,51,58.8
5,2,2,imagick_r,4.151316334869497,63,58.2
5,3,1,gamess,3.4850708066177503,14,61.2
5,3,1,leslie3d,2.718071475581254,94,60.8
5,3,1,milc,1.1065674840460589,88,73.8
5,3,1,lbm_r,2.1167240125621496,118,77.4
5,3,1,mcf,0.612707189756282,107,96.6
5,3,1,sphinx3,1.6402414007384554,109,64.6
5,3,1,namd,2.3483191156170404,21,63.4
5,3,1,namdREPEAT,2.363827045836511,21,62.8
5,3,2,gamess,3.4534807918691746,14,61.6
5,3,2,leslie3d,2.578170550511179,64,74.2
5,3,2,milc,1.0937070903231572,65,81.2
5,3,2,lbm_r,2.1913196174642935,90,80.0
5,3,2,mcf,0.6090566420657109,91,101.4
5,3,2,sphinx3,1.7248383984432731,58,66.4
5,3,2,namd,2.3491172703429832,21,63.4
5,3,2,namdREPEAT,2.344188537868537,21,62.8
5,4,1,astar,0.6741312243497274,63,56.8
5,4,1,mcf_r,0.9069680170842093,58,56.6
5,4,1,hmmer,1.579538277413545,14,59.0
5,4,1,leela_r,1.5027449550852698,71,56.6
5,4,1,sjeng,1.8145250756530624,73,58.4
5,4,1,mcf_rREPEAT,0.9126835979787367,57,55.8
5,4,1,omnetpp_r,0.8896516122274521,68,53.6
5,4,1,nab_r,1.8285033392139407,80,63.0
5,4,2,astar,0.6782372110373458,64,56.2
5,4,2,mcf_r,0.9029355010580746,59,56.4
5,4,2,hmmer,1.5798185709016337,14,59.2
5,4,2,leela_r,1.5009560299667584,70,56.6
5,4,2,sjeng,1.8138701283929248,73,58.4
5,4,2,mcf_rREPEAT,0.9115793373389872,58,55.4
5,4,2,omnetpp_r,0.8862004697173653,69,54.2
5,4,2,nab_r,1.8250353473284235,79,63.6
