app_name,time_seconds,cores,cpu_atom/instructions/,cpu_atom/cycles/,cpu_atom/topdown-retiring/,cpu_atom/topdown-bad-spec/,cpu_atom/topdown-fe-bound/,cpu_atom/topdown-be-bound/,cpu_atom/mem_bound_stalls.load/,cpu_atom/mem_bound_stalls.load_l2_hit/,cpu_atom/mem_load_uops_retired.l2_hit/,cpu_atom/mem_bound_stalls.load_llc_hit/,cpu_atom/mem_load_uops_retired.l3_hit/,cpu_atom/mem_load_uops_retired.dram_hit/
astar,360.00,16,928625338739,790536850931,964851298775,1691861591131,911454988599,371577769831,165818172248,76658282803,35253102131,47309913220,31865985690,345365907220
blender_r,440.60,20,1697313072963,974109678564,1749730932409,1416797176156,583808378444,1113152822585,235454859268,113808443397,44755972491,54488914715,39122422328,425591770163
bwaves,502.00,18,2520677470672,1107306978675,2587430905811,104590651205,277105448031,2567873916749,307056713329,181864572493,70027474997,45016523898,43971061482,483565031568
bzip2,133.20,16,456413732752,292919747249,461183181613,485668776370,227979635583,286346180849,63747614185,33922637046,14438598543,14464250405,11682913980,127814038080
cactuBSSN_r,342.80,20,1142760525986,758704814324,1151461418649,3472384905,39007096529,2600669809289,295463893057,158462428721,141949891265,38969831762,31881300447,332207476510
cactusADM,1307.40,20,3159471959846,2870279233339,3631349639364,396484126704,1044088797525,9282525228014,466482183298,199237442178,147102245389,118136526308,114140011333,1253285303361
calculix,2482.40,22,9142231606251,5442239024064,9378365054686,751172884492,578133714718,16509031729717,843641413473,347677346517,224234686691,218956255783,216002683613,2376426343052
dealII,411.00,18,2355808811767,902861636008,2481990583780,398597971941,643843504688,988503886014,181588620593,68481909931,37878225242,38563781424,35988895938,394515450419
deepsjeng_r,424.60,22,1866513170294,938553616991,1946361991974,1180764118812,947413309564,609431575481,213255808744,72330584803,39043503780,38837150599,37259161112,410252466226
gamess,752.60,20,4487902649956,1650002565544,4587637507260,266906033381,651605132468,2743343413515,278341785867,129488472918,69685008140,66588245205,65483368169,720553811183
gcc,57.40,22,233132699086,127114521971,255143409584,38532179411,65308478700,276704552377,49160543178,17961766062,6224802707,14137333483,5340066787,55549839814
GemsFDTD,746.40,16,2592409965311,1639825652496,2932898446388,133520280400,735470142343,4400293228843,635192952361,238384875203,89727345122,75157995800,65688402013,718987734080
gobmk,83.20,18,254371581155,183722493394,266691779146,326499601346,226966496256,95555871316,38074784483,13979375064,7651729976,10144271284,7347391280,80232806724
gromacs,737.40,20,2268307739345,1631605868776,2432465320409,468357181226,341695886382,4915625056639,277917378682,130763014627,78703929652,65522136348,64754093254,712408847412
h264ref,584.20,22,2998676774854,1292312051865,3547912253769,562382681551,1057417990862,1290714019933,234279733878,116377952819,55855368944,52331680080,51283852103,564309419907
hmmer,711.20,16,2415565201274,1561229623197,2428499221095,3478203278394,1639092805102,233909353202,241214185646,99984297933,62749996814,63483251104,61952960173,681161609017
imagick_r,1091.20,16,4805312777707,2400903397924,5444934056575,983756372171,2428794789150,3143648026371,410431125927,194771983534,100545589500,96245508628,95186623671,1047765013843
lbm,487.00,18,1496462457285,1076309750804,1551382218689,9117961599,22428992057,3800785448881,229985704181,129104996473,49794476325,43587675957,42707125945,469879395558
lbm_r,348.00,20,1422358300022,770319808587,1423356080695,7787235242,8547362947,2413485802777,215155343301,142083619646,39606145863,31291937124,30597551873,336285119716
leela_r,699.80,18,2227631930349,1546703930969,2297269219679,3139220363721,1823785831683,444952913785,267982866991,127391059522,66337091811,63498585905,61443437134,675429405750
