app_name,time_seconds,cores,cpu_core/instructions/,cpu_core/cycles/,cpu_core/TOPDOWN.SLOTS/,cpu_core/topdown-retiring/,cpu_core/topdown-bad-spec/,cpu_core/topdown-fe-bound/,cpu_core/topdown-be-bound/,cpu_core/topdown-mem-bound/,cpu_core/ARITH.DIV_ACTIVE/,cpu_core/EXE_ACTIVITY.BOUND_ON_LOADS/,cpu_core/MEMORY_ACTIVITY.STALLS_L1D_MISS/,cpu_core/MEMORY_ACTIVITY.STALLS_L2_MISS/,cpu_core/MEMORY_ACTIVITY.STALLS_L3_MISS/,cpu_core/EXE_ACTIVITY.BOUND_ON_STORES/,cpu_core/RESOURCE_STALLS.SCOREBOARD/,cpu_core/CYCLE_ACTIVITY.STALLS_TOTAL/,cpu_core/EXE_ACTIVITY.1_PORTS_UTIL/,cpu_core/EXE_ACTIVITY.2_PORTS_UTIL/,cpu_core/EXE_ACTIVITY.3_PORTS_UTIL/,cpu_core/mem_load_retired.l1_miss/,cpu_core/mem_load_retired.l2_miss/,cpu_core/mem_load_retired.l3_miss/,cpu_core/uops_executed.core_cycles_ge_3/,cpu_core/CPU_CLK_UNHALTED.THREAD/
astar,235.4,0,928049700648,699028462161,4194173229233,888964320084,1786982588511,1149788896929,436310147767,104197498219,21900186,69438331411,15391406874,8278377372,1469740953,6162265198,685858326,210337656862,64830423591,78051855004,85271504461,3555214210,208225745,8624342,347329017058,699296575743
blender_r,246.8,8,1695664370790,734528436147,4407428153697,1633410167156,1551469063101,500069467112,779051951634,260751530510,26328855667,75999035673,32494168616,24774049630,11140593369,772083784,2360766677,157288919203,63319016597,100136087809,93011472090,6153266731,1038980513,352964313,413895724368,734778646100
bwaves,270.4,4,2519439486384,806072881482,4836501872367,2776678225269,70108693811,978855821385,1009296739486,307170867579,89762134489,51541520712,24817777877,22806817560,19517439992,2133633410,21039592672,81645111915,59349868026,54099687448,72827153381,15172434061,418620294,358241084,611086527904,806349328837
bzip2,91.0,0,454694297708,270248346537,1621520780317,523051977276,524767984556,287874029711,350733608684,151572144268,8612010,29172216377,7194576827,4911366472,328873861,6949712394,484188026,74515210326,20875716642,25741688119,29625836288,2705660494,120584831,1658186,149542481631,270354593519
cactuBSSN_r,158.4,8,1142125387555,472274710667,2833761719464,1208715890015,2552283244,75261546483,1553652946153,715652515274,4975292338,64727201328,40717188907,17650773184,12834931928,44756898652,773130666,90121283717,49164504559,57407511983,64767160869,94245674105,752911403,342941148,276244097321,472435418312
cactusADM,834.8,8,3156237802817,2490185146818,14941416610046,3779844403764,1144799237642,4384313231245,5676134553073,533338510736,11856284748,62296124770,8206757604,5870827769,4093234034,30007676621,411362997453,898906439236,270803110121,330943149888,247871139696,13886341112,77216077,16791439,963824171744,2490885523106
calculix,1384.8,12,9129348213303,4128633433137,24773173615193,9842728078439,661982443541,3468061601623,10941624851327,1679893203819,7088974078,496956857638,10337842894,6151541125,3997552612,6168248651,36936649656,573033191584,944367939836,659640553368,495005092926,4993669362,90200564,48141023,1961333477161,4129898496717
dealII,255.0,4,2353623371408,760555815433,4563521873576,2346208736629,429243913172,1047120252053,786619285518,239804455401,6329035107,91544188002,26418246242,22693379933,16730444421,4271577515,3250912167,126388647712,70546070690,82302817298,97308630043,17506389044,756937831,352522443,482002203742,760784541140
deepsjeng_r,308.8,12,1864183696770,918976720515,5514182532339,1794113086294,1068103871009,2003074908238,690710024369,430200413606,7205512726,140899335571,81679150830,78653409468,68319572562,1640688601,1061308216,271865052431,105053505728,123847160237,122392486122,1339799084,438885278,411663758,418997279576,919276894229
gamess,420.2,8,4482667143666,1252865196922,7517625110551,4844950254659,290784241651,1477401768352,894846454127,81124916582,33910597076,29417704018,1193726660,444069336,95896545,762201166,4399113259,54317101613,60817960221,104481706234,170509153675,2693168757,7340119,470185,1033161499891,1253236646186
gcc,31.8,12,232655846007,94992856794,569987363664,225310922647,31186535429,84590517274,237215470463,137108914088,264668503,21270519869,14140961476,11254332497,3542305701,4506862663,4713662675,31753842095,8679876181,8080562185,8160082995,1414335985,219690550,30148073,46420959765,95024764537
GemsFDTD,386.0,0,2588862828539,1145332431924,6871922828500,3156856386184,486668435895,1515553930599,1920814713481,1159207357300,9758940669,152803711650,131744421981,130261340958,122612389257,1515380161,75112416005,309505481181,96883317958,91978786613,117937229242,10683813097,2563495485,2096406103,643507632423,1145703083140
gobmk,56.2,4,254263707576,167610047704,1005693937145,248637263496,291447157970,361962213453,118707786520,43285554157,700584652,21225625214,4964001056,4193752373,3697139745,1074700665,704952922,56921575865,18682028678,19203256005,19224399663,327187970,30456551,22187539,72902024377,167677651177
