politica;mezcla;run;energia;timepo
4;6;0;2.077,09;83,074150036
4;6;1;1.972,06;80,184906026
4;7;0;2.259,07;91,644177655
4;7;1;2.440,60;97,479086449
4;8;0;2.127,76;85,884683452
4;8;1;2.121,33;86,497649815
4;9;0;1.887,68;81,486126851
4;9;1;1.900,07;81,740177465
4;10;0;2.161,35;87,354041958
4;10;1;2.154,62;87,362246063
4;11;0;2.361,37;97,742939127
4;11;1;2.289,81;95,522509946
4;12;0;1.971,15;85,393858285
4;12;1;1.957,91;85,015964724
4;13;0;2.601,36;109,528483915
4;13;1;2.458,14;105,105146185
4;14;0;2.103,56;89,852391075
4;14;1;2.223,19;94,101128697
4;15;0;1.962,06;83,083943102
4;15;1;2.071,94;88,131805504
