politica;mezcla;run;energia;timepo
0;5;0;3.467,09;149,810208622
0;5;1;3.458,81;149,767915046
0;6;0;3.224,04;142,078527159
0;6;1;3.239,53;142,480791966
0;7;0;3.336,25;142,219653787
0;7;1;3.309,16;142,022156996
0;8;0;3.559,72;149,797155461
0;8;1;3.500,16;149,387754285
0;9;0;2.368,41;105,008371745
0;9;1;2.362,52;105,402234584
0;10;0;2.684,06;111,423322447
0;10;1;2.701,52;111,197901877
0;11;0;3.125,76;127,761322367
0;11;1;3.103,21;127,754509621
0;12;0;2.577,08;112,173003300
0;12;1;2.558,05;111,321183546
0;13;0;3.705,01;159,000958609
0;13;1;3.697,46;158,953666199
0;14;0;2.998,03;127,978617089
0;14;1;2.983,62;127,935644020
0;15;0;2.651,27;115,283314870
0;15;1;2.715,59;115,515684420
