Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	111.080153
1	Clockticks	9483000000
2	Performance-core (P-core)	336000000
1	Instructions Retired	452130000000
2	Performance-core (P-core)	600000000
1	CPI Rate	0.020974
2	Performance-core (P-core)	0.560000
1	Performance-core (P-core)	
2	Retiring	25.3
3	Light Operations	20.2
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	8.7
4	Fused Instructions	2.7
4	Non Fused Branches	2.7
4	Other	6.2
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	5.1
4	Few Uops Instructions	5.1
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	96.0
3	Front-End Latency	45.5
4	ICache Misses	2.5
5	Code L2 Hit	2.5
5	Code L2 Miss	0.0
4	ITLB Misses	1.5
5	Code STLB Hit	1.5
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	11.2
5	Mispredicts Resteers	
5	Clears Resteers	
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	2.7
3	Front-End Bandwidth	50.5
4	Front-End Bandwidth MITE	33.7
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	16.8
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	41.4
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	40.6
2	Bad Speculation	0.0
3	Branch Mispredict	16.7
4	Other Mispredicts	16.7
3	Machine Clears	0.0
4	Other Nukes	0.0
2	Back-End Bound	0.0
3	Memory Bound	25.3
4	L1 Bound	0.0
5	DTLB Overhead	5.4
