Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	80.214595
1	Clockticks	16923000000
2	Performance-core (P-core)	369000000
1	Instructions Retired	122100000000
2	Performance-core (P-core)	696000000
1	CPI Rate	0.138600
2	Performance-core (P-core)	0.530172
1	Performance-core (P-core)	
2	Retiring	25.0
3	Light Operations	23.3
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	11.7
4	Fused Instructions	3.1
4	Non Fused Branches	0.9
4	Other	7.6
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	1.7
4	Few Uops Instructions	1.7
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	13.1
3	Front-End Latency	7.5
4	ICache Misses	9.1
5	Code L2 Hit	9.1
5	Code L2 Miss	0.0
4	ITLB Misses	1.8
5	Code STLB Hit	1.8
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	18.1
5	Mispredicts Resteers	4.9
5	Clears Resteers	13.2
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	11.8
3	Front-End Bandwidth	5.6
4	Front-End Bandwidth MITE	4.1
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	4.1
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	34.8
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	5.0
2	Bad Speculation	61.9
3	Branch Mispredict	16.7
4	Other Mispredicts	16.7
3	Machine Clears	45.3
4	Other Nukes	45.3
2	Back-End Bound	0.0
3	Memory Bound	0.0
4	L1 Bound	0.0
5	DTLB Overhead	0.0
6	Load STLB Hit	0.0
6	Load STLB Miss	1.8
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	0.0
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.0
5	L2 Hit Latency	8.3
4	L3 Bound	0.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.0
5	Memory Latency	13.6
4	Store Bound	0.0
5	Store Latency	0.0
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	23.3
6	Store STLB Hit	23.3
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	0.0
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	4.1
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	0.0
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	0.0
5	Cycles of 2 Ports Utilized	0.0
5	Cycles of 3+ Ports Utilized	90.8
6	ALU Operation Utilization	15.6
7	Port 0	11.1
7	Port 1	11.1
7	Port 6	33.3
6	Load Operation Utilization	22.2
6	Store Operation Utilization	13.9
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	15.8
3	Arith Ops	7.4
4	Non Divider	7.4
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	8.4
4	Loads	7.1
4	Stores	1.5
2	Front-End Bound	27.9
3	IFetch Latency	2.6
4	ICache Misses	0.3
4	ITLB Misses	0.1
4	BACLEARS	0.1
4	Branch Resteers	2.0
3	IFetch Bandwidth	25.3
4	Cisc	0.4
4	Decode	19.8
4	Pre-Decode Wrong	0.0
4	Front-End Other	5.2
2	Bad Speculation	54.4
3	Branch Mispredict	55.3
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.0
2	Back-End Bound	1.9
3	Memory Subsystem Bound	1.9
4	L2 Bound	1.8
4	L2 Miss	0.2
5	L3 Bound	0.1
5	Memory Bound	0.1
3	Core Bound	0.0
4	Serializing Operations	0.0
5	Pause	0.0
5	TPause	0.0
4	L1 Bound	0.0
4	RB Bound	0.0
4	Store Bound	0.0
4	Execution Bound	0.0
4	Allocation Bound	0.0
5	Allocation Restriction	0.0
2	Info Metrics	
3	Stores Bound	0.000390
3	Load Bound	0.045716
1	Average CPU Frequency	1361256990.588624
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.6% (0.154 out of 24)
1	Effective Logical Core Utilization	0.5% (0.155 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	118210737
1	Collection start time	17:22:13 11/06/2026 UTC
1	Collection stop time	17:23:33 11/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199746
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
