Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	132.093433
1	Clockticks	5190000000
2	Performance-core (P-core)	447000000
1	Instructions Retired	422088000000
2	Performance-core (P-core)	810000000
1	CPI Rate	0.012296
2	Performance-core (P-core)	0.551852
1	Performance-core (P-core)	
2	Retiring	24.3
3	Light Operations	22.9
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	12.1
4	Fused Instructions	2.7
4	Non Fused Branches	0.5
4	Other	7.5
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	1.4
4	Few Uops Instructions	1.4
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	7.9
3	Front-End Latency	8.6
4	ICache Misses	0.0
5	Code L2 Hit	0.0
5	Code L2 Miss	0.0
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	2.8
5	Mispredicts Resteers	1.0
5	Clears Resteers	1.8
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	11.7
3	Front-End Bandwidth	0.0
4	Front-End Bandwidth MITE	38.9
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	19.4
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	100.0
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	6.9
2	Bad Speculation	60.7
3	Branch Mispredict	21.4
4	Other Mispredicts	21.4
3	Machine Clears	39.3
4	Other Nukes	39.3
2	Back-End Bound	7.1
3	Memory Bound	0.0
4	L1 Bound	22.8
5	DTLB Overhead	19.0
6	Load STLB Hit	15.7
6	Load STLB Miss	3.4
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	78.5
5	Lock Latency	8.9
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	22.8
5	L2 Hit Latency	43.9
4	L3 Bound	0.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	5.6
5	Memory Bandwidth	5.6
5	Memory Latency	40.0
4	Store Bound	0.0
5	Store Latency	0.0
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	13.3
6	Store STLB Hit	13.3
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	7.1
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	3.4
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	67.8
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	45.6
5	Cycles of 2 Ports Utilized	45.6
5	Cycles of 3+ Ports Utilized	44.7
6	ALU Operation Utilization	21.0
7	Port 0	19.0
7	Port 1	19.0
7	Port 6	38.1
6	Load Operation Utilization	25.4
6	Store Operation Utilization	19.0
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	32.0
3	Arith Ops	16.3
4	Non Divider	16.3
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	15.7
4	Loads	13.8
4	Stores	3.4
2	Front-End Bound	7.3
3	IFetch Latency	3.0
4	ICache Misses	1.4
4	ITLB Misses	0.3
4	BACLEARS	0.9
4	Branch Resteers	0.2
3	IFetch Bandwidth	4.3
4	Cisc	1.0
4	Decode	2.2
4	Pre-Decode Wrong	0.0
4	Front-End Other	0.7
2	Bad Speculation	3.5
3	Branch Mispredict	4.4
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.0
2	Back-End Bound	57.3
3	Memory Subsystem Bound	21.0
4	L2 Bound	12.8
4	L2 Miss	8.0
5	L3 Bound	1.2
5	Memory Bound	6.7
3	Core Bound	36.3
4	Serializing Operations	2.4
5	Pause	0.9
5	TPause	0.0
4	L1 Bound	0.3
4	RB Bound	0.1
4	Store Bound	13.6
4	Execution Bound	19.7
4	Allocation Bound	0.2
5	Allocation Restriction	0.2
2	Info Metrics	
3	Stores Bound	0.136162
3	Load Bound	0.213305
1	Average CPU Frequency	2138545422.554684
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.1% (0.017 out of 24)
1	Effective Logical Core Utilization	0.1% (0.018 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	437083185
1	Collection start time	18:22:22 11/06/2026 UTC
1	Collection stop time	18:24:34 11/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199745
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
