Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	84.677485
1	Clockticks	14559000000
2	Performance-core (P-core)	183000000
1	Instructions Retired	151332000000
2	Performance-core (P-core)	294000000
1	CPI Rate	0.096206
2	Performance-core (P-core)	0.622449
1	Performance-core (P-core)	
2	Retiring	0.0
3	Light Operations	0.0
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	0.0
4	Fused Instructions	0.0
4	Non Fused Branches	0.0
4	Other	0.0
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	0.0
4	Few Uops Instructions	0.0
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	5.1
3	Front-End Latency	0.0
4	ICache Misses	4.5
5	Code L2 Hit	4.5
5	Code L2 Miss	0.0
4	ITLB Misses	3.6
5	Code STLB Hit	3.6
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	0.0
5	Mispredicts Resteers	0.0
5	Clears Resteers	0.0
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	5.0
3	Front-End Bandwidth	5.1
4	Front-End Bandwidth MITE	0.0
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	0.0
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	0.0
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	0.0
2	Bad Speculation	94.9
3	Branch Mispredict	16.7
4	Other Mispredicts	16.7
3	Machine Clears	78.3
4	Other Nukes	78.3
2	Back-End Bound	0.0
3	Memory Bound	0.0
4	L1 Bound	0.0
5	DTLB Overhead	7.2
6	Load STLB Hit	6.3
6	Load STLB Miss	0.9
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	5.5
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
