Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	110.850686
1	Clockticks	16521000000
2	Performance-core (P-core)	417000000
1	Instructions Retired	395631000000
2	Performance-core (P-core)	795000000
1	CPI Rate	0.041759
2	Performance-core (P-core)	0.524528
1	Performance-core (P-core)	
2	Retiring	27.1
3	Light Operations	25.7
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	12.9
4	Fused Instructions	1.4
4	Non Fused Branches	0.0
4	Other	12.6
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	1.4
4	Few Uops Instructions	1.4
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	41.4
3	Front-End Latency	21.4
4	ICache Misses	0.0
5	Code L2 Hit	0.0
5	Code L2 Miss	6.0
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	12.0
5	Mispredicts Resteers	7.1
5	Clears Resteers	4.9
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	6.6
3	Front-End Bandwidth	20.0
4	Front-End Bandwidth MITE	13.3
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	6.7
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	38.7
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	20.9
2	Bad Speculation	24.3
3	Branch Mispredict	14.3
4	Other Mispredicts	14.3
3	Machine Clears	10.0
4	Other Nukes	10.0
2	Back-End Bound	7.1
3	Memory Bound	0.0
4	L1 Bound	0.0
5	DTLB Overhead	0.0
6	Load STLB Hit	0.0
6	Load STLB Miss	1.8
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	0.0
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	6.0
5	L2 Hit Latency	8.2
4	L3 Bound	6.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.0
5	Memory Latency	18.0
4	Store Bound	0.0
5	Store Latency	0.0
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	14.0
6	Store STLB Hit	14.0
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	7.1
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	4.8
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	0.0
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
