Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	83.419125
1	Clockticks	26931000000
2	Performance-core (P-core)	399000000
1	Instructions Retired	336462000000
2	Performance-core (P-core)	732000000
1	CPI Rate	0.080042
2	Performance-core (P-core)	0.545082
1	Performance-core (P-core)	
2	Retiring	22.7
3	Light Operations	21.3
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	10.7
4	Fused Instructions	2.5
4	Non Fused Branches	0.8
4	Other	7.4
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	1.3
4	Few Uops Instructions	1.3
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	28.0
3	Front-End Latency	16.0
4	ICache Misses	0.0
5	Code L2 Hit	0.0
5	Code L2 Miss	0.0
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	15.7
5	Mispredicts Resteers	7.3
5	Clears Resteers	8.3
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	11.9
3	Front-End Bandwidth	12.0
4	Front-End Bandwidth MITE	3.7
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	3.7
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	43.8
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	12.9
2	Bad Speculation	42.7
3	Branch Mispredict	20.0
4	Other Mispredicts	20.0
3	Machine Clears	22.7
4	Other Nukes	22.7
2	Back-End Bound	6.7
3	Memory Bound	0.0
4	L1 Bound	0.0
5	DTLB Overhead	0.0
6	Load STLB Hit	0.0
6	Load STLB Miss	3.8
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	0.0
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.0
5	L2 Hit Latency	100.0
