Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	112.457892
1	Clockticks	39846000000
2	Performance-core (P-core)	438000000
1	Instructions Retired	634380000000
2	Performance-core (P-core)	801000000
1	CPI Rate	0.062811
2	Performance-core (P-core)	0.546816
1	Performance-core (P-core)	
2	Retiring	21.9
3	Light Operations	19.9
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	12.6
4	Fused Instructions	2.7
4	Non Fused Branches	0.0
4	Other	5.6
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	2.0
4	Few Uops Instructions	2.0
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	0.5
3	Front-End Latency	0.0
4	ICache Misses	0.0
5	Code L2 Hit	0.0
5	Code L2 Miss	0.0
4	ITLB Misses	0.4
5	Code STLB Hit	0.4
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	2.9
5	Mispredicts Resteers	0.5
5	Clears Resteers	2.3
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	8.6
3	Front-End Bandwidth	0.5
4	Front-End Bandwidth MITE	1.8
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	3.6
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	16.3
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	0.2
2	Bad Speculation	77.6
3	Branch Mispredict	14.6
4	Other Mispredicts	14.6
3	Machine Clears	63.0
4	Other Nukes	63.0
2	Back-End Bound	0.0
3	Memory Bound	0.0
4	L1 Bound	2.1
5	DTLB Overhead	16.0
6	Load STLB Hit	12.0
6	Load STLB Miss	4.0
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	10.3
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	2.1
5	L2 Hit Latency	56.6
4	L3 Bound	0.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.0
5	Memory Latency	0.0
4	Store Bound	0.0
5	Store Latency	0.0
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	13.3
6	Store STLB Hit	13.3
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	0.0
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	2.9
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	6.2
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	4.3
5	Cycles of 2 Ports Utilized	4.3
5	Cycles of 3+ Ports Utilized	45.7
6	ALU Operation Utilization	24.8
7	Port 0	9.5
7	Port 1	9.5
7	Port 6	66.7
6	Load Operation Utilization	34.9
6	Store Operation Utilization	31.0
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	54.6
3	Arith Ops	26.9
4	Non Divider	26.8
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	27.7
4	Loads	25.6
4	Stores	6.6
2	Front-End Bound	8.3
3	IFetch Latency	1.1
4	ICache Misses	0.2
4	ITLB Misses	0.1
4	BACLEARS	0.2
4	Branch Resteers	0.7
3	IFetch Bandwidth	7.2
4	Cisc	3.8
4	Decode	2.3
4	Pre-Decode Wrong	0.0
4	Front-End Other	1.0
2	Bad Speculation	3.4
3	Branch Mispredict	4.2
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.0
2	Back-End Bound	33.7
3	Memory Subsystem Bound	2.3
4	L2 Bound	2.1
4	L2 Miss	0.1
5	L3 Bound	0.1
5	Memory Bound	0.0
3	Core Bound	31.4
4	Serializing Operations	6.5
5	Pause	0.7
5	TPause	0.0
4	L1 Bound	0.1
4	RB Bound	0.0
4	Store Bound	3.3
4	Execution Bound	21.1
4	Allocation Bound	0.3
5	Allocation Restriction	0.3
2	Info Metrics	
3	Stores Bound	0.033278
3	Load Bound	0.023940
1	Average CPU Frequency	34988780134.643799
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.0% (0.009 out of 24)
1	Effective Logical Core Utilization	0.0% (0.010 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	293928320
1	Collection start time	17:33:33 11/06/2026 UTC
1	Collection stop time	17:35:26 11/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199745
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
