Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	87.116192
1	Clockticks	42501000000
2	Performance-core (P-core)	384000000
1	Instructions Retired	268563000000
2	Performance-core (P-core)	741000000
1	CPI Rate	0.158253
2	Performance-core (P-core)	0.518219
1	Performance-core (P-core)	
2	Retiring	26.0
3	Light Operations	24.5
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	12.3
4	Fused Instructions	2.9
4	Non Fused Branches	0.9
4	Other	8.5
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	1.5
4	Few Uops Instructions	1.5
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	37.5
3	Front-End Latency	23.0
4	ICache Misses	0.0
5	Code L2 Hit	0.0
5	Code L2 Miss	0.0
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	13.0
5	Mispredicts Resteers	10.4
5	Clears Resteers	2.6
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	11.7
3	Front-End Bandwidth	14.5
4	Front-End Bandwidth MITE	4.8
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	4.8
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	46.9
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	18.2
2	Bad Speculation	28.8
3	Branch Mispredict	23.0
4	Other Mispredicts	23.0
3	Machine Clears	5.8
4	Other Nukes	5.8
2	Back-End Bound	7.7
3	Memory Bound	0.0
4	L1 Bound	0.0
5	DTLB Overhead	0.0
6	Load STLB Hit	0.0
6	Load STLB Miss	3.9
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	0.0
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.0
5	L2 Hit Latency	10.1
4	L3 Bound	0.4
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	6.5
5	Memory Latency	13.0
4	Store Bound	0.0
5	Store Latency	0.0
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	13.3
6	Store STLB Hit	13.3
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	7.7
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	2.0
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	0.0
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	0.0
5	Cycles of 2 Ports Utilized	0.0
5	Cycles of 3+ Ports Utilized	65.1
6	ALU Operation Utilization	17.3
7	Port 0	19.0
7	Port 1	9.5
7	Port 6	38.7
6	Load Operation Utilization	22.2
6	Store Operation Utilization	19.0
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	31.1
3	Arith Ops	17.3
4	Non Divider	17.3
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	13.9
4	Loads	9.8
4	Stores	5.0
2	Front-End Bound	21.8
3	IFetch Latency	2.9
4	ICache Misses	1.0
4	ITLB Misses	0.1
4	BACLEARS	0.6
4	Branch Resteers	1.1
3	IFetch Bandwidth	19.0
4	Cisc	2.8
4	Decode	13.2
4	Pre-Decode Wrong	0.2
4	Front-End Other	2.7
2	Bad Speculation	39.1
3	Branch Mispredict	40.2
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.6
2	Back-End Bound	7.9
3	Memory Subsystem Bound	3.1
4	L2 Bound	2.5
4	L2 Miss	0.6
