Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	124.690017
1	Clockticks	6009000000
2	Performance-core (P-core)	378000000
1	Instructions Retired	371898000000
2	Performance-core (P-core)	732000000
1	CPI Rate	0.016158
2	Performance-core (P-core)	0.516393
1	Performance-core (P-core)	
2	Retiring	23.5
3	Light Operations	22.0
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	11.0
4	Fused Instructions	4.0
4	Non Fused Branches	0.4
4	Other	6.6
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	1.6
4	Few Uops Instructions	1.6
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	12.9
3	Front-End Latency	7.0
4	ICache Misses	8.9
5	Code L2 Hit	8.9
5	Code L2 Miss	0.0
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	22.1
5	Mispredicts Resteers	5.5
5	Clears Resteers	16.6
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	12.2
3	Front-End Bandwidth	5.9
4	Front-End Bandwidth MITE	4.1
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	4.1
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	31.2
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	4.9
2	Bad Speculation	63.6
3	Branch Mispredict	15.7
4	Other Mispredicts	15.7
3	Machine Clears	47.9
4	Other Nukes	47.9
2	Back-End Bound	0.0
3	Memory Bound	0.0
4	L1 Bound	0.0
5	DTLB Overhead	0.0
6	Load STLB Hit	0.0
6	Load STLB Miss	1.8
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	0.0
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.0
5	L2 Hit Latency	12.4
4	L3 Bound	6.6
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
