Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	99.298271
1	Clockticks	23673000000
2	Performance-core (P-core)	351000000
1	Instructions Retired	474096000000
2	Performance-core (P-core)	726000000
1	CPI Rate	0.049933
2	Performance-core (P-core)	0.483471
1	Performance-core (P-core)	
2	Retiring	25.0
3	Light Operations	23.3
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	10.9
4	Fused Instructions	3.1
4	Non Fused Branches	1.2
4	Other	8.1
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	1.7
4	Few Uops Instructions	1.7
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	50.8
3	Front-End Latency	30.0
4	ICache Misses	3.6
5	Code L2 Hit	3.6
5	Code L2 Miss	0.0
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	21.4
5	Mispredicts Resteers	22.5
5	Clears Resteers	0.0
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	11.4
3	Front-End Bandwidth	20.8
4	Front-End Bandwidth MITE	4.8
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	4.8
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	50.0
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	19.8
2	Bad Speculation	15.8
3	Branch Mispredict	16.7
4	Other Mispredicts	16.7
3	Machine Clears	0.0
4	Other Nukes	0.0
2	Back-End Bound	8.3
3	Memory Bound	0.0
4	L1 Bound	0.0
5	DTLB Overhead	0.0
6	Load STLB Hit	0.0
6	Load STLB Miss	2.8
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	0.0
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.0
5	L2 Hit Latency	40.4
4	L3 Bound	0.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.0
5	Memory Latency	14.2
4	Store Bound	0.0
5	Store Latency	0.0
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	13.3
6	Store STLB Hit	13.3
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	8.3
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	3.6
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	0.0
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	0.0
5	Cycles of 2 Ports Utilized	0.0
5	Cycles of 3+ Ports Utilized	57.0
6	ALU Operation Utilization	13.3
7	Port 0	9.5
7	Port 1	9.5
7	Port 6	28.6
6	Load Operation Utilization	19.0
6	Store Operation Utilization	14.3
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	54.4
3	Arith Ops	26.3
4	Non Divider	26.2
4	FP Divide	0.0
4	Int Divider	0.1
3	Mem Ops	28.1
4	Loads	23.3
4	Stores	9.4
2	Front-End Bound	16.3
3	IFetch Latency	0.8
4	ICache Misses	0.3
4	ITLB Misses	0.1
4	BACLEARS	0.2
4	Branch Resteers	0.1
3	IFetch Bandwidth	15.5
4	Cisc	8.1
4	Decode	7.2
4	Pre-Decode Wrong	0.0
4	Front-End Other	0.5
2	Bad Speculation	8.8
3	Branch Mispredict	10.8
