Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	100.456153
1	Clockticks	1554000000
2	Performance-core (P-core)	327000000
1	Instructions Retired	299241000000
2	Performance-core (P-core)	600000000
1	CPI Rate	0.005193
2	Performance-core (P-core)	0.545000
1	Performance-core (P-core)	
2	Retiring	36.0
3	Light Operations	30.9
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	9.3
4	Fused Instructions	2.9
4	Non Fused Branches	2.6
4	Other	16.1
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	5.1
4	Few Uops Instructions	5.1
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	95.2
3	Front-End Latency	46.3
4	ICache Misses	2.5
5	Code L2 Hit	2.5
5	Code L2 Miss	0.0
4	ITLB Misses	1.5
5	Code STLB Hit	1.5
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	11.5
5	Mispredicts Resteers	
5	Clears Resteers	
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	2.7
3	Front-End Bandwidth	48.9
4	Front-End Bandwidth MITE	17.1
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	17.1
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	41.9
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	31.4
2	Bad Speculation	0.0
3	Branch Mispredict	16.7
4	Other Mispredicts	16.7
3	Machine Clears	0.0
4	Other Nukes	0.0
2	Back-End Bound	0.0
3	Memory Bound	0.0
4	L1 Bound	0.0
5	DTLB Overhead	4.0
6	Load STLB Hit	3.5
6	Load STLB Miss	0.5
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	0.0
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.0
5	L2 Hit Latency	
4	L3 Bound	2.5
5	Contested Accesses	
5	Data Sharing	
5	L3 Latency	
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.0
5	Memory Latency	22.9
4	Store Bound	0.0
5	Store Latency	0.0
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	12.2
6	Store STLB Hit	11.7
6	Store STLB Miss	0.6
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	0.0
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	2.3
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	6.7
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	5.0
5	Cycles of 2 Ports Utilized	0.0
5	Cycles of 3+ Ports Utilized	76.5
6	ALU Operation Utilization	15.6
7	Port 0	11.1
7	Port 1	11.1
7	Port 6	33.3
6	Load Operation Utilization	22.2
6	Store Operation Utilization	16.7
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	33.6
3	Arith Ops	18.7
4	Non Divider	18.7
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	14.9
4	Loads	11.3
4	Stores	6.0
2	Front-End Bound	21.3
3	IFetch Latency	11.9
4	ICache Misses	7.5
4	ITLB Misses	1.7
4	BACLEARS	2.3
4	Branch Resteers	0.1
3	IFetch Bandwidth	9.4
