Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	87.606628
1	Clockticks	21840000000
2	Performance-core (P-core)	453000000
1	Instructions Retired	274464000000
2	Performance-core (P-core)	816000000
1	CPI Rate	0.079573
2	Performance-core (P-core)	0.555147
1	Performance-core (P-core)	
2	Retiring	29.2
3	Light Operations	27.7
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	13.8
4	Fused Instructions	2.9
4	Non Fused Branches	0.0
4	Other	12.1
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	1.5
4	Few Uops Instructions	1.5
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	16.9
3	Front-End Latency	9.2
4	ICache Misses	0.0
5	Code L2 Hit	0.0
5	Code L2 Miss	0.0
4	ITLB Misses	0.4
5	Code STLB Hit	0.4
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	13.8
5	Mispredicts Resteers	4.6
5	Clears Resteers	9.2
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	8.3
3	Front-End Bandwidth	7.7
4	Front-End Bandwidth MITE	1.7
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	3.4
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	17.3
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	6.0
2	Bad Speculation	46.2
3	Branch Mispredict	15.4
4	Other Mispredicts	15.4
3	Machine Clears	30.8
4	Other Nukes	30.8
2	Back-End Bound	7.7
3	Memory Bound	0.0
4	L1 Bound	2.0
5	DTLB Overhead	15.5
6	Load STLB Hit	11.6
6	Load STLB Miss	3.9
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	7.9
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	2.0
5	L2 Hit Latency	49.0
4	L3 Bound	0.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.0
5	Memory Latency	0.0
4	Store Bound	0.0
5	Store Latency	0.0
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	12.8
6	Store STLB Hit	12.8
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	7.7
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	5.3
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	6.5
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	4.1
5	Cycles of 2 Ports Utilized	4.1
5	Cycles of 3+ Ports Utilized	44.2
6	ALU Operation Utilization	18.3
7	Port 0	18.3
7	Port 1	9.1
7	Port 6	36.5
6	Load Operation Utilization	21.3
6	Store Operation Utilization	18.3
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	32.0
3	Arith Ops	21.7
4	Non Divider	21.4
4	FP Divide	0.0
4	Int Divider	0.2
3	Mem Ops	10.4
4	Loads	7.7
4	Stores	3.0
2	Front-End Bound	22.1
3	IFetch Latency	2.4
4	ICache Misses	0.3
4	ITLB Misses	0.1
4	BACLEARS	0.4
4	Branch Resteers	1.5
3	IFetch Bandwidth	19.7
4	Cisc	0.9
4	Decode	15.1
4	Pre-Decode Wrong	0.0
4	Front-End Other	3.7
2	Bad Speculation	37.0
3	Branch Mispredict	40.3
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.1
2	Back-End Bound	8.9
3	Memory Subsystem Bound	3.2
4	L2 Bound	2.8
4	L2 Miss	0.3
5	L3 Bound	0.2
5	Memory Bound	0.2
3	Core Bound	5.7
4	Serializing Operations	1.0
5	Pause	0.4
5	TPause	0.0
4	L1 Bound	0.6
4	RB Bound	0.0
4	Store Bound	0.7
4	Execution Bound	1.1
4	Allocation Bound	2.4
5	Allocation Restriction	2.4
2	Info Metrics	
3	Stores Bound	0.006844
3	Load Bound	0.037794
1	Average CPU Frequency	26591529452.292686
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.0% (0.008 out of 24)
