Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	102.451895
1	Clockticks	5532000000
2	Performance-core (P-core)	429000000
1	Instructions Retired	528651000000
2	Performance-core (P-core)	780000000
1	CPI Rate	0.010464
2	Performance-core (P-core)	0.550000
1	Performance-core (P-core)	
2	Retiring	24.0
3	Light Operations	22.7
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	10.7
4	Fused Instructions	2.5
4	Non Fused Branches	2.5
4	Other	6.9
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	1.3
4	Few Uops Instructions	0.0
4	Microcode Sequencer	1.3
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	1.3
2	Front-End Bound	30.0
3	Front-End Latency	20.0
4	ICache Misses	5.8
5	Code L2 Hit	0.0
5	Code L2 Miss	17.5
4	ITLB Misses	1.2
5	Code STLB Hit	1.2
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	8.7
5	Mispredicts Resteers	4.4
5	Clears Resteers	4.3
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	9.9
3	Front-End Bandwidth	10.0
4	Front-End Bandwidth MITE	3.7
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	3.7
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	36.1
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	12.7
2	Bad Speculation	39.3
3	Branch Mispredict	20.0
4	Other Mispredicts	20.0
3	Machine Clears	19.3
4	Other Nukes	19.3
2	Back-End Bound	6.7
3	Memory Bound	6.7
4	L1 Bound	5.8
5	DTLB Overhead	0.0
6	Load STLB Hit	0.0
6	Load STLB Miss	2.3
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	0.0
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	11.7
5	L2 Hit Latency	5.0
4	L3 Bound	5.8
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	5.8
5	Memory Latency	5.8
4	Store Bound	0.0
5	Store Latency	0.0
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	13.0
6	Store STLB Hit	13.0
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	0.0
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	4.7
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	0.0
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	0.0
5	Cycles of 2 Ports Utilized	11.7
5	Cycles of 3+ Ports Utilized	58.3
6	ALU Operation Utilization	13.3
7	Port 0	14.8
7	Port 1	7.4
7	Port 6	29.6
6	Load Operation Utilization	19.8
6	Store Operation Utilization	11.1
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	47.7
3	Arith Ops	22.9
4	Non Divider	22.4
4	FP Divide	0.5
4	Int Divider	0.0
3	Mem Ops	24.8
4	Loads	22.4
4	Stores	6.4
2	Front-End Bound	5.8
3	IFetch Latency	2.2
4	ICache Misses	1.3
4	ITLB Misses	0.2
4	BACLEARS	0.5
4	Branch Resteers	0.0
3	IFetch Bandwidth	3.6
4	Cisc	0.8
4	Decode	1.5
4	Pre-Decode Wrong	0.0
4	Front-End Other	0.7
2	Bad Speculation	6.4
3	Branch Mispredict	8.2
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.0
2	Back-End Bound	40.1
3	Memory Subsystem Bound	10.8
4	L2 Bound	8.8
4	L2 Miss	2.0
5	L3 Bound	0.4
5	Memory Bound	1.6
3	Core Bound	29.3
4	Serializing Operations	2.9
5	Pause	0.8
5	TPause	0.0
4	L1 Bound	0.6
4	RB Bound	0.0
4	Store Bound	8.7
4	Execution Bound	16.9
4	Allocation Bound	0.2
5	Allocation Restriction	0.2
2	Info Metrics	
3	Stores Bound	0.086639
3	Load Bound	0.114750
1	Average CPU Frequency	948668556.074888
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.2% (0.056 out of 24)
1	Effective Logical Core Utilization	0.2% (0.057 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	311863630
1	Collection start time	17:49:52 11/06/2026 UTC
1	Collection stop time	17:51:34 11/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199747
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
