Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	88.074353
1	Clockticks	14430000000
2	Performance-core (P-core)	198000000
1	Instructions Retired	550149000000
2	Performance-core (P-core)	378000000
1	CPI Rate	0.026229
2	Performance-core (P-core)	0.523810
1	Performance-core (P-core)	
2	Retiring	100.0
3	Light Operations	100.0
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	23.5
4	Fused Instructions	0.0
4	Non Fused Branches	0.0
4	Other	100.0
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	10.0
4	Few Uops Instructions	10.0
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	100.0
3	Front-End Latency	100.0
4	ICache Misses	0.0
5	Code L2 Hit	0.0
5	Code L2 Miss	0.0
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	25.3
5	Mispredicts Resteers	0.0
5	Clears Resteers	25.3
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	0.0
3	Front-End Bandwidth	95.0
4	Front-End Bandwidth MITE	
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	0.0
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	23.1
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	
2	Bad Speculation	0.0
3	Branch Mispredict	0.0
4	Other Mispredicts	0.0
3	Machine Clears	0.0
4	Other Nukes	0.0
2	Back-End Bound	50.0
3	Memory Bound	0.0
4	L1 Bound	0.0
5	DTLB Overhead	0.0
6	Load STLB Hit	0.0
6	Load STLB Miss	0.0
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	0.0
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.0
5	L2 Hit Latency	0.0
4	L3 Bound	0.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.0
5	Memory Latency	0.0
4	Store Bound	0.0
5	Store Latency	0.0
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	0.0
6	Store STLB Hit	0.0
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	50.0
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	7.6
5	Slow Pause	0.0
5	C01 Wait	0.0
