Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	98.832442
1	Clockticks	16203000000
2	Performance-core (P-core)	459000000
1	Instructions Retired	177282000000
2	Performance-core (P-core)	819000000
1	CPI Rate	0.091397
2	Performance-core (P-core)	0.560440
1	Performance-core (P-core)	
2	Retiring	100.0
3	Light Operations	100.0
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	38.1
4	Fused Instructions	0.0
4	Non Fused Branches	3.8
4	Other	100.0
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	20.0
4	Few Uops Instructions	20.0
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	100.0
3	Front-End Latency	100.0
4	ICache Misses	0.0
5	Code L2 Hit	0.0
5	Code L2 Miss	0.0
4	ITLB Misses	1.1
5	Code STLB Hit	1.1
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	10.9
5	Mispredicts Resteers	0.0
5	Clears Resteers	10.9
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	0.0
3	Front-End Bandwidth	100.0
4	Front-End Bandwidth MITE	
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	100.0
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	
2	Bad Speculation	0.0
3	Branch Mispredict	0.0
4	Other Mispredicts	0.0
3	Machine Clears	0.0
4	Other Nukes	0.0
2	Back-End Bound	100.0
3	Memory Bound	0.0
4	L1 Bound	21.6
5	DTLB Overhead	0.0
6	Load STLB Hit	0.0
6	Load STLB Miss	0.0
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	65.6
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	21.6
5	L2 Hit Latency	100.0
4	L3 Bound	0.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	21.6
5	Memory Latency	27.0
4	Store Bound	0.0
5	Store Latency	0.0
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	0.0
6	Store STLB Hit	0.0
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	100.0
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	3.8
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	100.0
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	43.1
5	Cycles of 2 Ports Utilized	43.1
5	Cycles of 3+ Ports Utilized	43.6
6	ALU Operation Utilization	
7	Port 0	
7	Port 1	
7	Port 6	
6	Load Operation Utilization	
6	Store Operation Utilization	
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	18.2
3	Arith Ops	8.9
4	Non Divider	8.9
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	9.3
4	Loads	7.1
4	Stores	2.6
2	Front-End Bound	6.9
3	IFetch Latency	0.9
4	ICache Misses	0.3
4	ITLB Misses	0.1
4	BACLEARS	0.2
4	Branch Resteers	0.4
3	IFetch Bandwidth	6.0
4	Cisc	0.4
4	Decode	4.3
4	Pre-Decode Wrong	0.0
4	Front-End Other	1.0
2	Bad Speculation	20.5
3	Branch Mispredict	19.5
3	Machine Clears	1.0
4	Ucode_Assist	0.1
4	Machine_Restart	0.0
2	Back-End Bound	54.4
3	Memory Subsystem Bound	39.0
4	L2 Bound	8.4
4	L2 Miss	30.7
5	L3 Bound	14.7
5	Memory Bound	15.9
3	Core Bound	15.4
4	Serializing Operations	1.3
5	Pause	0.9
5	TPause	0.0
4	L1 Bound	3.7
4	RB Bound	0.0
4	Store Bound	0.6
4	Execution Bound	9.5
4	Allocation Bound	0.4
5	Allocation Restriction	0.4
2	Info Metrics	
3	Stores Bound	0.005842
