Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	85.852763
1	Clockticks	2217000000
2	Performance-core (P-core)	360000000
1	Instructions Retired	214674000000
2	Performance-core (P-core)	612000000
1	CPI Rate	0.010327
2	Performance-core (P-core)	0.588235
1	Performance-core (P-core)	
2	Retiring	100.0
3	Light Operations	92.6
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	11.3
4	Fused Instructions	7.6
4	Non Fused Branches	0.8
4	Other	72.9
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	10.3
4	Few Uops Instructions	10.3
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	95.2
3	Front-End Latency	61.7
4	ICache Misses	9.2
5	Code L2 Hit	2.3
5	Code L2 Miss	6.9
4	ITLB Misses	1.4
5	Code STLB Hit	1.4
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	10.4
5	Mispredicts Resteers	
5	Clears Resteers	
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	3.8
3	Front-End Bandwidth	33.4
4	Front-End Bandwidth MITE	34.3
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	34.3
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	23.3
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	26.3
2	Bad Speculation	0.0
3	Branch Mispredict	16.7
4	Other Mispredicts	16.7
3	Machine Clears	0.0
4	Other Nukes	0.0
2	Back-End Bound	0.0
3	Memory Bound	0.0
4	L1 Bound	4.9
5	DTLB Overhead	3.6
6	Load STLB Hit	3.2
6	Load STLB Miss	0.5
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	0.0
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	6.8
5	L2 Hit Latency	
4	L3 Bound	6.8
5	Contested Accesses	
5	Data Sharing	
5	L3 Latency	
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	6.9
5	Memory Latency	0.0
4	Store Bound	0.0
5	Store Latency	0.0
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	12.8
6	Store STLB Hit	11.7
6	Store STLB Miss	1.1
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	0.0
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	4.2
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	9.1
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	4.5
5	Cycles of 2 Ports Utilized	13.9
5	Cycles of 3+ Ports Utilized	83.3
6	ALU Operation Utilization	18.0
7	Port 0	11.1
7	Port 1	11.1
7	Port 6	56.5
6	Load Operation Utilization	22.2
6	Store Operation Utilization	8.3
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	35.0
3	Arith Ops	19.4
4	Non Divider	19.4
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	15.5
4	Loads	10.8
4	Stores	6.2
2	Front-End Bound	20.7
3	IFetch Latency	8.9
4	ICache Misses	4.7
4	ITLB Misses	1.0
4	BACLEARS	1.7
4	Branch Resteers	0.2
3	IFetch Bandwidth	11.8
4	Cisc	5.7
4	Decode	6.9
4	Pre-Decode Wrong	0.2
4	Front-End Other	3.3
2	Bad Speculation	12.3
3	Branch Mispredict	19.1
3	Machine Clears	0.0
4	Ucode_Assist	0.1
4	Machine_Restart	0.3
2	Back-End Bound	32.0
3	Memory Subsystem Bound	19.9
4	L2 Bound	6.4
4	L2 Miss	14.0
5	L3 Bound	5.4
5	Memory Bound	8.6
3	Core Bound	12.2
4	Serializing Operations	4.8
5	Pause	1.5
5	TPause	0.0
4	L1 Bound	1.8
4	RB Bound	0.0
4	Store Bound	4.7
4	Execution Bound	0.0
4	Allocation Bound	0.8
5	Allocation Restriction	0.8
2	Info Metrics	
3	Stores Bound	0.080632
3	Load Bound	0.230521
1	Average CPU Frequency	157205441.266548
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.7% (0.163 out of 24)
1	Effective Logical Core Utilization	0.5% (0.164 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	280192305
1	Collection start time	18:00:09 11/06/2026 UTC
1	Collection stop time	18:01:35 11/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199747
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
