Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	127.512622
1	Clockticks	9909000000
2	Performance-core (P-core)	270000000
1	Instructions Retired	448410000000
2	Performance-core (P-core)	480000000
1	CPI Rate	0.022098
2	Performance-core (P-core)	0.562500
1	Performance-core (P-core)	
2	Retiring	24.7
3	Light Operations	23.2
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	12.0
4	Fused Instructions	2.7
4	Non Fused Branches	1.5
4	Other	7.0
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	1.5
4	Few Uops Instructions	1.5
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	6.8
3	Front-End Latency	4.4
4	ICache Misses	8.2
5	Code L2 Hit	8.2
5	Code L2 Miss	0.0
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	9.3
5	Mispredicts Resteers	3.3
5	Clears Resteers	6.0
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	16.7
3	Front-End Bandwidth	2.4
4	Front-End Bandwidth MITE	0.0
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	0.0
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	0.0
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	2.1
2	Bad Speculation	61.3
3	Branch Mispredict	21.8
4	Other Mispredicts	21.8
3	Machine Clears	39.5
4	Other Nukes	39.5
2	Back-End Bound	7.3
3	Memory Bound	5.7
4	L1 Bound	14.4
5	DTLB Overhead	7.2
6	Load STLB Hit	1.7
6	Load STLB Miss	5.6
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	0.0
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.0
5	L2 Hit Latency	0.0
4	L3 Bound	7.2
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.0
5	Memory Latency	0.0
4	Store Bound	0.0
5	Store Latency	0.0
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	15.9
6	Store STLB Hit	15.9
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	1.6
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	5.9
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	0.0
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	0.0
5	Cycles of 2 Ports Utilized	0.0
5	Cycles of 3+ Ports Utilized	92.6
6	ALU Operation Utilization	40.0
7	Port 0	38.1
7	Port 1	19.0
7	Port 6	76.2
6	Load Operation Utilization	47.6
6	Store Operation Utilization	40.5
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	35.4
3	Arith Ops	22.1
4	Non Divider	22.1
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	13.3
4	Loads	11.8
4	Stores	1.8
2	Front-End Bound	9.6
3	IFetch Latency	2.2
4	ICache Misses	0.9
4	ITLB Misses	0.3
4	BACLEARS	0.5
4	Branch Resteers	0.4
3	IFetch Bandwidth	7.4
