Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	89.832119
1	Clockticks	18576000000
2	Performance-core (P-core)	378000000
1	Instructions Retired	333312000000
2	Performance-core (P-core)	714000000
1	CPI Rate	0.055732
2	Performance-core (P-core)	0.529412
1	Performance-core (P-core)	
2	Retiring	25.3
3	Light Operations	23.8
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	12.2
4	Fused Instructions	2.8
4	Non Fused Branches	0.7
4	Other	8.1
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	1.5
4	Few Uops Instructions	1.5
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	27.3
3	Front-End Latency	17.9
4	ICache Misses	0.0
5	Code L2 Hit	0.0
5	Code L2 Miss	0.0
4	ITLB Misses	0.6
5	Code STLB Hit	0.6
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	16.5
5	Mispredicts Resteers	9.3
5	Clears Resteers	7.3
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	13.5
3	Front-End Bandwidth	9.4
4	Front-End Bandwidth MITE	4.5
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	4.5
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	40.3
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	12.6
2	Bad Speculation	39.9
3	Branch Mispredict	22.4
4	Other Mispredicts	22.4
3	Machine Clears	17.5
4	Other Nukes	17.5
2	Back-End Bound	7.5
3	Memory Bound	0.0
4	L1 Bound	13.2
5	DTLB Overhead	2.8
6	Load STLB Hit	0.0
6	Load STLB Miss	4.0
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	0.0
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.0
5	L2 Hit Latency	34.6
4	L3 Bound	0.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
