Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	116.077774
1	Clockticks	15243000000
2	Performance-core (P-core)	387000000
1	Instructions Retired	441234000000
2	Performance-core (P-core)	732000000
1	CPI Rate	0.034546
2	Performance-core (P-core)	0.528689
1	Performance-core (P-core)	
2	Retiring	25.7
3	Light Operations	24.3
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	11.5
4	Fused Instructions	2.7
4	Non Fused Branches	1.9
4	Other	8.2
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	1.4
4	Few Uops Instructions	1.4
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	30.0
3	Front-End Latency	17.1
4	ICache Misses	3.2
5	Code L2 Hit	3.2
5	Code L2 Miss	0.0
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	16.2
5	Mispredicts Resteers	9.3
5	Clears Resteers	6.8
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	12.3
3	Front-End Bandwidth	12.9
4	Front-End Bandwidth MITE	4.8
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	4.8
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	37.1
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	13.1
2	Bad Speculation	37.1
3	Branch Mispredict	21.4
4	Other Mispredicts	21.4
3	Machine Clears	15.7
4	Other Nukes	15.7
2	Back-End Bound	7.1
3	Memory Bound	0.0
4	L1 Bound	0.0
5	DTLB Overhead	0.0
6	Load STLB Hit	0.0
6	Load STLB Miss	2.6
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	0.0
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.0
5	L2 Hit Latency	100.0
4	L3 Bound	0.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.0
5	Memory Latency	25.8
4	Store Bound	0.0
5	Store Latency	0.0
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	16.7
6	Store STLB Hit	16.7
6	Store STLB Miss	0.0
