Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	97.687130
1	Clockticks	12516000000
2	Performance-core (P-core)	432000000
1	Instructions Retired	472218000000
2	Performance-core (P-core)	801000000
1	CPI Rate	0.026505
2	Performance-core (P-core)	0.539326
1	Performance-core (P-core)	
2	Retiring	
3	Light Operations	
4	FP Arithmetic	
5	FP x87	
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	
4	Fused Instructions	
4	Non Fused Branches	
4	Other	
5	Nop Instructions	
5	Shuffles_256b	
3	Heavy Operations	
4	Few Uops Instructions	
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	
3	Front-End Latency	
4	ICache Misses	0.0
5	Code L2 Hit	0.0
5	Code L2 Miss	0.0
4	ITLB Misses	1.6
5	Code STLB Hit	1.6
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	11.6
5	Mispredicts Resteers	
5	Clears Resteers	
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	0.0
3	Front-End Bandwidth	
4	Front-End Bandwidth MITE	
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	34.4
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	
2	Bad Speculation	
3	Branch Mispredict	0.0
4	Other Mispredicts	0.0
3	Machine Clears	
4	Other Nukes	
2	Back-End Bound	
3	Memory Bound	0.0
4	L1 Bound	2.0
5	DTLB Overhead	0.0
6	Load STLB Hit	0.0
6	Load STLB Miss	0.0
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	8.6
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	2.0
5	L2 Hit Latency	0.0
4	L3 Bound	0.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.0
5	Memory Latency	7.8
4	Store Bound	0.0
5	Store Latency	0.0
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	0.0
6	Store STLB Hit	0.0
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	3.5
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	4.0
5	Cycles of 2 Ports Utilized	4.0
5	Cycles of 3+ Ports Utilized	46.3
6	ALU Operation Utilization	
7	Port 0	
7	Port 1	
7	Port 6	
6	Load Operation Utilization	
6	Store Operation Utilization	
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	47.0
3	Arith Ops	27.0
4	Non Divider	27.0
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	20.0
4	Loads	15.0
4	Stores	6.9
2	Front-End Bound	12.1
3	IFetch Latency	2.2
4	ICache Misses	1.0
4	ITLB Misses	0.5
4	BACLEARS	0.4
4	Branch Resteers	0.2
3	IFetch Bandwidth	9.9
4	Cisc	1.0
4	Decode	7.7
4	Pre-Decode Wrong	0.1
4	Front-End Other	1.1
2	Bad Speculation	6.1
3	Branch Mispredict	5.3
3	Machine Clears	0.8
4	Ucode_Assist	0.0
4	Machine_Restart	0.1
2	Back-End Bound	34.8
3	Memory Subsystem Bound	27.8
4	L2 Bound	9.2
4	L2 Miss	18.8
5	L3 Bound	17.9
5	Memory Bound	0.9
3	Core Bound	7.0
4	Serializing Operations	1.7
5	Pause	0.6
5	TPause	0.0
4	L1 Bound	2.9
4	RB Bound	0.0
4	Store Bound	0.6
4	Execution Bound	0.5
4	Allocation Bound	1.2
5	Allocation Restriction	1.2
2	Info Metrics	
3	Stores Bound	0.006026
3	Load Bound	0.307268
1	Average CPU Frequency	3238977019.261794
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.2% (0.038 out of 24)
1	Effective Logical Core Utilization	0.1% (0.040 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	266179049
1	Collection start time	18:16:43 11/06/2026 UTC
1	Collection stop time	18:18:21 11/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199746
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
