Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	57.974258
1	Clockticks	1608000000
2	Performance-core (P-core)	1023000000
1	Instructions Retired	462321000000
2	Performance-core (P-core)	460845000000
1	CPI Rate	0.003478
2	Performance-core (P-core)	0.002220
1	Performance-core (P-core)	
2	Retiring	37.3
3	Light Operations	33.0
4	FP Arithmetic	4.5
5	FP x87	4.5
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	17.6
4	Fused Instructions	2.9
4	Non Fused Branches	0.0
4	Other	8.1
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	4.3
4	Few Uops Instructions	4.0
4	Microcode Sequencer	0.3
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.3
2	Front-End Bound	10.3
3	Front-End Latency	3.6
4	ICache Misses	5.0
5	Code L2 Hit	4.8
5	Code L2 Miss	0.3
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	11.2
5	Mispredicts Resteers	2.8
5	Clears Resteers	8.4
5	Unknown Branches	0.0
4	MS Switches	2.1
4	Length Changing Prefixes	0.0
4	DSB Switches	7.0
3	Front-End Bandwidth	6.7
4	Front-End Bandwidth MITE	1.8
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	2.3
4	Front-End Bandwidth LSD	0.8
4	MS	0.4
4	(Info) DSB Coverage	32.0
4	(Info) LSD Coverage	7.6
4	(Info) DSB Misses	3.2
2	Bad Speculation	42.4
3	Branch Mispredict	10.5
4	Other Mispredicts	8.0
3	Machine Clears	31.9
4	Other Nukes	23.9
2	Back-End Bound	10.1
3	Memory Bound	5.9
4	L1 Bound	0.5
5	DTLB Overhead	11.5
6	Load STLB Hit	8.3
6	Load STLB Miss	3.2
7	Load STLB Miss 4K	3.2
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.1
5	L1 Latency Dependency	40.0
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	1.2
4	L2 Bound	0.1
5	L2 Hit Latency	3.9
4	L3 Bound	1.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.1
5	SQ Full	1.6
4	DRAM Bound	10.5
5	Memory Bandwidth	23.8
5	Memory Latency	11.6
4	Store Bound	0.1
5	Store Latency	0.6
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	14.3
6	Store STLB Hit	14.0
6	Store STLB Miss	0.3
7	Store STLB Miss 4K	0.3
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	4.2
4	Divider	0.2
5	FP Divider	0.2
5	INT Divider	0.1
4	Serializing Operations	2.8
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	8.8
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	4.2
5	Cycles of 2 Ports Utilized	4.8
5	Cycles of 3+ Ports Utilized	93.2
6	ALU Operation Utilization	21.2
7	Port 0	25.3
7	Port 1	12.5
7	Port 6	26.3
6	Load Operation Utilization	36.3
6	Store Operation Utilization	17.3
5	Vector Capacity Usage (FPU)	6.2
1	Efficient-core (E-core)	
2	Retiring	48.3
3	Arith Ops	34.0
4	Non Divider	34.0
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	14.3
4	Loads	9.8
4	Stores	5.2
2	Front-End Bound	40.5
3	IFetch Latency	20.5
4	ICache Misses	9.9
4	ITLB Misses	1.2
4	BACLEARS	6.5
4	Branch Resteers	0.6
3	IFetch Bandwidth	20.1
4	Cisc	5.5
4	Decode	11.1
4	Pre-Decode Wrong	0.3
4	Front-End Other	3.4
2	Bad Speculation	0.0
3	Branch Mispredict	29.0
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.0
2	Back-End Bound	24.5
3	Memory Subsystem Bound	16.0
4	L2 Bound	9.5
4	L2 Miss	3.9
5	L3 Bound	1.9
5	Memory Bound	1.9
3	Core Bound	8.5
4	Serializing Operations	8.0
5	Pause	2.2
5	TPause	0.0
4	L1 Bound	0.3
4	RB Bound	0.0
4	Store Bound	0.2
4	Execution Bound	0.0
4	Allocation Bound	0.1
5	Allocation Restriction	0.1
2	Info Metrics	
3	Stores Bound	0.009151
3	Load Bound	0.175309
1	Average CPU Frequency	986134561.425061
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.1% (0.028 out of 24)
1	Effective Logical Core Utilization	0.1% (0.028 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	81888321
1	Collection start time	07:31:30 12/06/2026 UTC
1	Collection stop time	07:32:28 12/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199750
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
