Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	65.129827
1	Clockticks	7713000000
2	Performance-core (P-core)	6720000000
1	Instructions Retired	122466000000
2	Performance-core (P-core)	120741000000
1	CPI Rate	0.062981
2	Performance-core (P-core)	0.055656
1	Performance-core (P-core)	
2	Retiring	11.8
3	Light Operations	10.9
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	6.7
4	Fused Instructions	1.3
4	Non Fused Branches	0.7
4	Other	2.2
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	0.9
4	Few Uops Instructions	0.9
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	27.3
3	Front-End Latency	16.1
4	ICache Misses	0.0
5	Code L2 Hit	0.0
5	Code L2 Miss	0.0
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	6.8
5	Mispredicts Resteers	5.6
5	Clears Resteers	1.2
5	Unknown Branches	0.0
4	MS Switches	0.2
4	Length Changing Prefixes	0.0
4	DSB Switches	3.9
3	Front-End Bandwidth	11.2
4	Front-End Bandwidth MITE	0.6
5	Decoder-0 Alone	0.1
4	Front-End Bandwidth DSB	11.2
4	Front-End Bandwidth LSD	0.0
4	MS	0.1
4	(Info) DSB Coverage	61.4
4	(Info) LSD Coverage	0.1
4	(Info) DSB Misses	6.2
2	Bad Speculation	53.4
3	Branch Mispredict	44.0
4	Other Mispredicts	1.3
3	Machine Clears	9.4
4	Other Nukes	9.4
2	Back-End Bound	7.5
3	Memory Bound	0.3
4	L1 Bound	9.4
5	DTLB Overhead	4.4
6	Load STLB Hit	4.2
