Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	79.081253
1	Clockticks	31386000000
2	Performance-core (P-core)	30270000000
1	Instructions Retired	490737000000
2	Performance-core (P-core)	488991000000
1	CPI Rate	0.063957
2	Performance-core (P-core)	0.061903
1	Performance-core (P-core)	
2	Retiring	34.4
3	Light Operations	33.6
4	FP Arithmetic	18.5
5	FP x87	0.0
5	FP Scalar	18.5
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	13.1
4	Fused Instructions	2.4
4	Non Fused Branches	4.2
4	Other	0.0
5	Nop Instructions	0.2
5	Shuffles_256b	0.0
3	Heavy Operations	0.8
4	Few Uops Instructions	0.7
4	Microcode Sequencer	0.1
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.1
2	Front-End Bound	8.6
3	Front-End Latency	4.6
4	ICache Misses	0.2
5	Code L2 Hit	0.1
5	Code L2 Miss	0.1
4	ITLB Misses	0.1
5	Code STLB Hit	0.1
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	3.0
5	Mispredicts Resteers	2.9
5	Clears Resteers	0.1
5	Unknown Branches	0.0
4	MS Switches	0.9
4	Length Changing Prefixes	0.0
4	DSB Switches	1.2
3	Front-End Bandwidth	4.0
4	Front-End Bandwidth MITE	0.6
5	Decoder-0 Alone	0.1
4	Front-End Bandwidth DSB	10.0
4	Front-End Bandwidth LSD	0.0
4	MS	0.3
4	(Info) DSB Coverage	64.6
4	(Info) LSD Coverage	1.3
4	(Info) DSB Misses	1.3
2	Bad Speculation	38.9
3	Branch Mispredict	37.4
4	Other Mispredicts	4.4
3	Machine Clears	1.4
4	Other Nukes	1.4
2	Back-End Bound	18.1
3	Memory Bound	5.9
4	L1 Bound	5.9
5	DTLB Overhead	14.5
6	Load STLB Hit	13.0
6	Load STLB Miss	1.4
7	Load STLB Miss 4K	1.4
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	26.2
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.3
4	L2 Bound	1.0
5	L2 Hit Latency	100.0
4	L3 Bound	2.8
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	55.8
5	SQ Full	0.1
4	DRAM Bound	1.8
5	Memory Bandwidth	5.5
5	Memory Latency	3.7
4	Store Bound	0.2
5	Store Latency	0.4
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	0.6
6	Store STLB Hit	0.5
6	Store STLB Miss	0.1
7	Store STLB Miss 4K	0.1
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	12.2
4	Divider	3.6
5	FP Divider	2.1
5	INT Divider	1.5
4	Serializing Operations	0.6
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	17.9
5	Cycles of 0 Ports Utilized	0.1
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	8.7
5	Cycles of 2 Ports Utilized	13.9
5	Cycles of 3+ Ports Utilized	54.3
6	ALU Operation Utilization	32.5
7	Port 0	36.6
