Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	59.159154
1	Clockticks	24522000000
2	Performance-core (P-core)	23676000000
1	Instructions Retired	515379000000
2	Performance-core (P-core)	513942000000
1	CPI Rate	0.047581
2	Performance-core (P-core)	0.046067
1	Performance-core (P-core)	
2	Retiring	59.3
3	Light Operations	49.7
4	FP Arithmetic	9.6
5	FP x87	9.6
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	27.3
4	Fused Instructions	0.4
4	Non Fused Branches	1.1
4	Other	11.3
5	Nop Instructions	0.1
5	Shuffles_256b	0.0
3	Heavy Operations	9.6
4	Few Uops Instructions	8.8
4	Microcode Sequencer	0.8
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.8
2	Front-End Bound	16.9
3	Front-End Latency	4.5
4	ICache Misses	0.2
5	Code L2 Hit	0.0
5	Code L2 Miss	0.5
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	0.6
5	Mispredicts Resteers	0.2
5	Clears Resteers	0.4
5	Unknown Branches	0.0
4	MS Switches	4.0
4	Length Changing Prefixes	0.0
4	DSB Switches	0.4
3	Front-End Bandwidth	12.4
4	Front-End Bandwidth MITE	0.4
5	Decoder-0 Alone	0.1
4	Front-End Bandwidth DSB	2.5
4	Front-End Bandwidth LSD	0.3
4	MS	1.1
4	(Info) DSB Coverage	51.4
4	(Info) LSD Coverage	3.9
4	(Info) DSB Misses	1.6
2	Bad Speculation	7.6
3	Branch Mispredict	2.0
4	Other Mispredicts	1.9
3	Machine Clears	5.6
4	Other Nukes	5.6
2	Back-End Bound	16.1
3	Memory Bound	3.4
4	L1 Bound	3.9
5	DTLB Overhead	0.5
6	Load STLB Hit	0.4
6	Load STLB Miss	0.1
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	1.6
5	L1 Latency Dependency	65.1
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.2
4	L2 Bound	0.1
5	L2 Hit Latency	27.1
4	L3 Bound	0.4
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.3
5	SQ Full	1.2
4	DRAM Bound	1.1
5	Memory Bandwidth	25.6
5	Memory Latency	9.8
4	Store Bound	0.5
5	Store Latency	2.3
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	0.6
6	Store STLB Hit	0.4
6	Store STLB Miss	0.2
7	Store STLB Miss 4K	0.2
7	Store STLB Miss 2M	0.0
