Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	60.227820
1	Clockticks	15753000000
2	Performance-core (P-core)	14805000000
1	Instructions Retired	293181000000
2	Performance-core (P-core)	291609000000
1	CPI Rate	0.053731
2	Performance-core (P-core)	0.050770
1	Performance-core (P-core)	
2	Retiring	29.5
3	Light Operations	26.2
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	16.2
4	Fused Instructions	2.3
4	Non Fused Branches	1.4
4	Other	6.4
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	3.3
4	Few Uops Instructions	3.2
4	Microcode Sequencer	0.1
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.1
2	Front-End Bound	12.7
3	Front-End Latency	6.8
4	ICache Misses	0.1
5	Code L2 Hit	0.0
5	Code L2 Miss	0.3
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	4.0
5	Mispredicts Resteers	3.4
5	Clears Resteers	0.5
5	Unknown Branches	0.1
4	MS Switches	0.5
4	Length Changing Prefixes	0.0
4	DSB Switches	1.3
3	Front-End Bandwidth	6.0
4	Front-End Bandwidth MITE	0.3
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	7.5
4	Front-End Bandwidth LSD	0.0
4	MS	0.2
4	(Info) DSB Coverage	55.7
4	(Info) LSD Coverage	6.6
4	(Info) DSB Misses	1.7
2	Bad Speculation	39.5
3	Branch Mispredict	34.3
4	Other Mispredicts	1.4
3	Machine Clears	5.2
4	Other Nukes	0.9
2	Back-End Bound	18.3
3	Memory Bound	5.8
4	L1 Bound	8.0
5	DTLB Overhead	4.9
6	Load STLB Hit	4.7
6	Load STLB Miss	0.2
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	30.6
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.2
4	L2 Bound	0.8
5	L2 Hit Latency	13.6
4	L3 Bound	1.2
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	1.0
5	SQ Full	0.1
4	DRAM Bound	0.1
5	Memory Bandwidth	0.9
5	Memory Latency	3.6
4	Store Bound	2.5
5	Store Latency	2.3
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	5.1
6	Store STLB Hit	5.0
6	Store STLB Miss	0.1
7	Store STLB Miss 4K	0.1
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	12.5
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	0.7
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	13.6
5	Cycles of 0 Ports Utilized	0.2
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	7.5
5	Cycles of 2 Ports Utilized	9.3
5	Cycles of 3+ Ports Utilized	55.1
6	ALU Operation Utilization	19.6
7	Port 0	18.8
7	Port 1	13.5
7	Port 6	34.9
6	Load Operation Utilization	44.0
6	Store Operation Utilization	25.4
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	37.8
3	Arith Ops	24.4
4	Non Divider	24.4
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	13.4
4	Loads	8.7
4	Stores	4.4
2	Front-End Bound	24.1
3	IFetch Latency	11.7
4	ICache Misses	4.3
4	ITLB Misses	1.5
4	BACLEARS	2.9
4	Branch Resteers	0.2
3	IFetch Bandwidth	12.4
4	Cisc	4.4
4	Decode	8.1
4	Pre-Decode Wrong	0.3
4	Front-End Other	2.9
2	Bad Speculation	13.3
3	Branch Mispredict	18.1
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.2
2	Back-End Bound	24.8
3	Memory Subsystem Bound	14.1
4	L2 Bound	6.8
4	L2 Miss	4.4
5	L3 Bound	1.7
5	Memory Bound	2.7
3	Core Bound	10.7
4	Serializing Operations	10.7
5	Pause	2.1
5	TPause	0.0
4	L1 Bound	0.0
4	RB Bound	0.0
4	Store Bound	0.0
4	Execution Bound	0.0
4	Allocation Bound	0.0
5	Allocation Restriction	0.0
2	Info Metrics	
3	Stores Bound	0.027565
3	Load Bound	0.162878
1	Average CPU Frequency	3834176956.788883
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.3% (0.065 out of 24)
1	Effective Logical Core Utilization	0.2% (0.068 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	62214144
1	Collection start time	07:24:02 12/06/2026 UTC
1	Collection stop time	07:25:03 12/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199748
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
