Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	61.405458
1	Clockticks	3084000000
2	Performance-core (P-core)	2166000000
1	Instructions Retired	423651000000
2	Performance-core (P-core)	422070000000
1	CPI Rate	0.007280
2	Performance-core (P-core)	0.005132
1	Performance-core (P-core)	
2	Retiring	41.2
3	Light Operations	37.7
4	FP Arithmetic	55.3
5	FP x87	0.0
5	FP Scalar	55.3
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	21.9
4	Fused Instructions	0.6
4	Non Fused Branches	0.7
4	Other	0.0
5	Nop Instructions	0.1
5	Shuffles_256b	0.0
3	Heavy Operations	3.5
4	Few Uops Instructions	3.4
4	Microcode Sequencer	0.1
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.1
2	Front-End Bound	9.7
3	Front-End Latency	5.1
4	ICache Misses	1.4
5	Code L2 Hit	0.9
5	Code L2 Miss	0.5
4	ITLB Misses	0.3
5	Code STLB Hit	0.3
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	2.4
5	Mispredicts Resteers	2.0
5	Clears Resteers	0.4
5	Unknown Branches	0.0
4	MS Switches	0.5
4	Length Changing Prefixes	0.0
4	DSB Switches	0.8
3	Front-End Bandwidth	4.6
4	Front-End Bandwidth MITE	7.3
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	2.3
4	Front-End Bandwidth LSD	0.0
4	MS	0.2
4	(Info) DSB Coverage	26.3
4	(Info) LSD Coverage	2.0
4	(Info) DSB Misses	4.2
2	Bad Speculation	1.7
3	Branch Mispredict	1.4
4	Other Mispredicts	0.0
3	Machine Clears	0.3
4	Other Nukes	0.3
2	Back-End Bound	47.4
3	Memory Bound	18.3
4	L1 Bound	2.7
5	DTLB Overhead	35.1
6	Load STLB Hit	34.4
6	Load STLB Miss	0.8
7	Load STLB Miss 4K	0.8
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	35.1
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	3.2
4	L2 Bound	5.4
5	L2 Hit Latency	29.0
4	L3 Bound	0.8
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.2
5	SQ Full	2.8
4	DRAM Bound	1.4
