Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	60.197531
1	Clockticks	5169000000
2	Performance-core (P-core)	4251000000
1	Instructions Retired	150885000000
2	Performance-core (P-core)	149307000000
1	CPI Rate	0.034258
2	Performance-core (P-core)	0.028472
1	Performance-core (P-core)	
2	Retiring	17.7
3	Light Operations	13.7
4	FP Arithmetic	4.1
5	FP x87	4.1
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	8.4
4	Fused Instructions	0.1
4	Non Fused Branches	0.2
4	Other	0.9
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	3.9
4	Few Uops Instructions	1.5
4	Microcode Sequencer	2.5
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	2.5
2	Front-End Bound	27.2
3	Front-End Latency	17.4
4	ICache Misses	0.3
5	Code L2 Hit	0.1
5	Code L2 Miss	0.2
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	3.7
5	Mispredicts Resteers	1.2
5	Clears Resteers	2.5
5	Unknown Branches	0.0
4	MS Switches	17.3
4	Length Changing Prefixes	0.0
4	DSB Switches	0.3
3	Front-End Bandwidth	9.9
4	Front-End Bandwidth MITE	3.1
5	Decoder-0 Alone	1.0
4	Front-End Bandwidth DSB	1.0
4	Front-End Bandwidth LSD	0.0
4	MS	4.9
4	(Info) DSB Coverage	37.9
4	(Info) LSD Coverage	0.8
4	(Info) DSB Misses	3.6
2	Bad Speculation	18.3
3	Branch Mispredict	5.9
4	Other Mispredicts	5.9
3	Machine Clears	12.4
4	Other Nukes	12.4
2	Back-End Bound	36.8
3	Memory Bound	2.1
4	L1 Bound	2.8
5	DTLB Overhead	7.1
6	Load STLB Hit	7.0
6	Load STLB Miss	0.1
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	1.4
5	L1 Latency Dependency	19.8
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.1
5	L2 Hit Latency	1.6
4	L3 Bound	0.4
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.1
5	Memory Bandwidth	2.5
5	Memory Latency	3.4
4	Store Bound	0.7
5	Store Latency	0.7
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	1.3
6	Store STLB Hit	1.2
6	Store STLB Miss	0.1
7	Store STLB Miss 4K	0.1
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	34.8
4	Divider	0.3
5	FP Divider	0.2
5	INT Divider	0.1
4	Serializing Operations	19.1
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	16.7
5	Cycles of 0 Ports Utilized	3.5
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	10.0
5	Cycles of 2 Ports Utilized	11.5
5	Cycles of 3+ Ports Utilized	26.5
6	ALU Operation Utilization	14.4
7	Port 0	25.1
7	Port 1	5.0
7	Port 6	10.7
6	Load Operation Utilization	19.9
6	Store Operation Utilization	9.4
5	Vector Capacity Usage (FPU)	6.2
1	Efficient-core (E-core)	
2	Retiring	36.8
3	Arith Ops	24.6
4	Non Divider	24.6
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	12.1
4	Loads	9.5
4	Stores	5.0
2	Front-End Bound	25.1
3	IFetch Latency	11.6
4	ICache Misses	5.6
4	ITLB Misses	1.5
4	BACLEARS	3.2
4	Branch Resteers	0.7
3	IFetch Bandwidth	13.5
4	Cisc	2.7
4	Decode	7.5
4	Pre-Decode Wrong	0.2
4	Front-End Other	3.2
2	Bad Speculation	18.0
3	Branch Mispredict	19.2
3	Machine Clears	0.0
4	Ucode_Assist	0.2
4	Machine_Restart	0.2
2	Back-End Bound	20.1
3	Memory Subsystem Bound	12.9
4	L2 Bound	9.3
4	L2 Miss	4.6
5	L3 Bound	2.6
5	Memory Bound	2.0
3	Core Bound	7.2
4	Serializing Operations	4.5
5	Pause	1.6
5	TPause	0.0
4	L1 Bound	1.0
4	RB Bound	0.0
4	Store Bound	0.7
4	Execution Bound	0.5
4	Allocation Bound	0.5
5	Allocation Restriction	0.5
2	Info Metrics	
3	Stores Bound	0.006708
3	Load Bound	0.139108
1	Average CPU Frequency	1025378336.142261
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.3% (0.066 out of 24)
1	Effective Logical Core Utilization	0.3% (0.084 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
