Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	62.556824
1	Clockticks	3525000000
2	Performance-core (P-core)	2676000000
1	Instructions Retired	392694000000
2	Performance-core (P-core)	391254000000
1	CPI Rate	0.008976
2	Performance-core (P-core)	0.006840
1	Performance-core (P-core)	
2	Retiring	37.0
3	Light Operations	34.2
4	FP Arithmetic	6.8
5	FP x87	6.8
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	16.5
4	Fused Instructions	0.9
4	Non Fused Branches	1.8
4	Other	8.2
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	2.8
4	Few Uops Instructions	2.6
4	Microcode Sequencer	0.2
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.2
2	Front-End Bound	10.9
3	Front-End Latency	2.7
4	ICache Misses	0.5
5	Code L2 Hit	0.5
5	Code L2 Miss	0.0
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	1.7
5	Mispredicts Resteers	0.7
5	Clears Resteers	1.0
5	Unknown Branches	0.0
4	MS Switches	1.1
4	Length Changing Prefixes	0.0
4	DSB Switches	2.0
3	Front-End Bandwidth	8.1
4	Front-End Bandwidth MITE	0.2
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	3.7
4	Front-End Bandwidth LSD	0.3
4	MS	0.3
4	(Info) DSB Coverage	57.2
4	(Info) LSD Coverage	2.0
4	(Info) DSB Misses	1.4
2	Bad Speculation	15.8
3	Branch Mispredict	6.4
4	Other Mispredicts	2.2
3	Machine Clears	9.4
4	Other Nukes	9.4
2	Back-End Bound	36.4
3	Memory Bound	5.2
4	L1 Bound	10.6
5	DTLB Overhead	2.6
6	Load STLB Hit	2.1
6	Load STLB Miss	0.5
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.3
5	L1 Latency Dependency	30.1
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.8
5	L2 Hit Latency	2.0
4	L3 Bound	0.1
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.2
5	Memory Latency	1.2
4	Store Bound	0.1
5	Store Latency	0.2
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	2.7
6	Store STLB Hit	2.7
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	31.2
4	Divider	0.2
