Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	58.800983
1	Clockticks	21384000000
2	Performance-core (P-core)	20427000000
1	Instructions Retired	339114000000
2	Performance-core (P-core)	337530000000
1	CPI Rate	0.063058
2	Performance-core (P-core)	0.060519
1	Performance-core (P-core)	
2	Retiring	32.5
3	Light Operations	30.8
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	12.2
4	Fused Instructions	2.9
4	Non Fused Branches	2.1
4	Other	13.6
5	Nop Instructions	0.2
5	Shuffles_256b	0.0
3	Heavy Operations	1.7
4	Few Uops Instructions	1.1
4	Microcode Sequencer	0.6
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.6
2	Front-End Bound	27.4
3	Front-End Latency	14.7
4	ICache Misses	0.9
5	Code L2 Hit	0.5
5	Code L2 Miss	0.4
4	ITLB Misses	0.1
5	Code STLB Hit	0.1
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	6.3
5	Mispredicts Resteers	4.4
5	Clears Resteers	1.9
5	Unknown Branches	0.0
4	MS Switches	1.7
4	Length Changing Prefixes	0.0
4	DSB Switches	13.9
3	Front-End Bandwidth	12.6
4	Front-End Bandwidth MITE	6.0
5	Decoder-0 Alone	1.2
4	Front-End Bandwidth DSB	6.1
4	Front-End Bandwidth LSD	0.0
4	MS	0.6
4	(Info) DSB Coverage	44.4
4	(Info) LSD Coverage	0.8
4	(Info) DSB Misses	15.0
2	Bad Speculation	28.3
3	Branch Mispredict	19.8
4	Other Mispredicts	1.7
3	Machine Clears	8.6
4	Other Nukes	1.7
2	Back-End Bound	11.8
3	Memory Bound	6.8
4	L1 Bound	6.7
5	DTLB Overhead	4.0
6	Load STLB Hit	0.9
6	Load STLB Miss	3.1
7	Load STLB Miss 4K	3.1
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	20.5
