Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	63.363895
1	Clockticks	17568000000
2	Performance-core (P-core)	16743000000
1	Instructions Retired	633726000000
2	Performance-core (P-core)	632316000000
1	CPI Rate	0.027722
2	Performance-core (P-core)	0.026479
1	Performance-core (P-core)	
2	Retiring	63.2
3	Light Operations	55.5
4	FP Arithmetic	8.6
5	FP x87	8.6
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	31.7
4	Fused Instructions	1.9
4	Non Fused Branches	1.4
4	Other	11.8
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	7.6
4	Few Uops Instructions	7.0
4	Microcode Sequencer	0.7
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.7
2	Front-End Bound	13.8
3	Front-End Latency	2.0
4	ICache Misses	0.1
5	Code L2 Hit	0.1
5	Code L2 Miss	0.0
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	0.8
5	Mispredicts Resteers	0.3
5	Clears Resteers	0.6
5	Unknown Branches	0.0
4	MS Switches	2.6
4	Length Changing Prefixes	0.0
4	DSB Switches	2.5
3	Front-End Bandwidth	11.8
4	Front-End Bandwidth MITE	1.9
5	Decoder-0 Alone	0.4
4	Front-End Bandwidth DSB	3.5
4	Front-End Bandwidth LSD	0.1
4	MS	0.8
4	(Info) DSB Coverage	51.0
4	(Info) LSD Coverage	0.8
4	(Info) DSB Misses	4.3
2	Bad Speculation	10.1
3	Branch Mispredict	3.2
4	Other Mispredicts	1.2
3	Machine Clears	6.8
4	Other Nukes	0.0
2	Back-End Bound	13.0
3	Memory Bound	1.1
4	L1 Bound	2.5
5	DTLB Overhead	24.8
6	Load STLB Hit	24.7
6	Load STLB Miss	0.1
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.6
5	L1 Latency Dependency	70.9
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.1
5	L2 Hit Latency	10.0
4	L3 Bound	0.1
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.0
5	Memory Latency	0.4
4	Store Bound	0.1
5	Store Latency	0.4
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	34.6
6	Store STLB Hit	34.6
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	11.9
4	Divider	2.6
5	FP Divider	1.6
5	INT Divider	1.0
4	Serializing Operations	0.7
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	18.6
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	4.9
5	Cycles of 2 Ports Utilized	8.3
5	Cycles of 3+ Ports Utilized	79.8
6	ALU Operation Utilization	32.8
7	Port 0	47.5
7	Port 1	24.8
7	Port 6	35.1
6	Load Operation Utilization	61.3
6	Store Operation Utilization	23.3
5	Vector Capacity Usage (FPU)	6.2
1	Efficient-core (E-core)	
2	Retiring	42.5
3	Arith Ops	30.0
4	Non Divider	30.0
4	FP Divide	0.0
