Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	59.678883
1	Clockticks	2286000000
2	Performance-core (P-core)	1170000000
1	Instructions Retired	410013000000
2	Performance-core (P-core)	408066000000
1	CPI Rate	0.005575
2	Performance-core (P-core)	0.002867
1	Performance-core (P-core)	
2	Retiring	41.2
3	Light Operations	37.0
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	19.1
4	Fused Instructions	4.1
4	Non Fused Branches	2.5
4	Other	11.3
5	Nop Instructions	0.3
5	Shuffles_256b	0.0
3	Heavy Operations	4.2
4	Few Uops Instructions	2.3
4	Microcode Sequencer	1.9
5	Assists	0.1
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	1.8
2	Front-End Bound	11.2
3	Front-End Latency	6.1
4	ICache Misses	85.0
5	Code L2 Hit	67.7
5	Code L2 Miss	17.3
4	ITLB Misses	34.0
5	Code STLB Hit	17.4
5	Code STLB Miss	16.6
6	Code STLB Miss 4K	16.6
6	Code STLB Miss 2M	0.0
4	Branch Resteers	92.6
5	Mispredicts Resteers	36.8
5	Clears Resteers	53.6
5	Unknown Branches	2.2
4	MS Switches	100.0
4	Length Changing Prefixes	7.6
4	DSB Switches	100.0
3	Front-End Bandwidth	5.1
4	Front-End Bandwidth MITE	2.2
5	Decoder-0 Alone	0.4
4	Front-End Bandwidth DSB	3.0
4	Front-End Bandwidth LSD	0.0
4	MS	2.5
4	(Info) DSB Coverage	27.8
4	(Info) LSD Coverage	19.2
4	(Info) DSB Misses	3.1
2	Bad Speculation	10.2
3	Branch Mispredict	4.2
4	Other Mispredicts	2.2
3	Machine Clears	6.1
4	Other Nukes	4.9
2	Back-End Bound	37.4
3	Memory Bound	20.5
4	L1 Bound	100.0
5	DTLB Overhead	100.0
6	Load STLB Hit	100.0
6	Load STLB Miss	93.0
7	Load STLB Miss 4K	93.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	100.0
5	L1 Latency Dependency	100.0
5	Lock Latency	2.3
5	Split Loads	3.8
5	FB Full	100.0
4	L2 Bound	100.0
5	L2 Hit Latency	100.0
4	L3 Bound	100.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	100.0
5	SQ Full	23.8
4	DRAM Bound	100.0
5	Memory Bandwidth	100.0
5	Memory Latency	0.0
4	Store Bound	100.0
5	Store Latency	100.0
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	4.5
6	Store STLB Hit	2.6
6	Store STLB Miss	1.9
7	Store STLB Miss 4K	1.9
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	16.9
4	Divider	10.9
5	FP Divider	0.0
5	INT Divider	10.9
4	Serializing Operations	100.0
5	Slow Pause	4.3
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	11.1
4	Port Utilization	100.0
5	Cycles of 0 Ports Utilized	100.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	100.0
5	Cycles of 2 Ports Utilized	100.0
5	Cycles of 3+ Ports Utilized	100.0
6	ALU Operation Utilization	22.1
7	Port 0	24.4
7	Port 1	16.1
7	Port 6	37.7
6	Load Operation Utilization	33.0
6	Store Operation Utilization	25.6
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	46.1
3	Arith Ops	34.2
4	Non Divider	34.2
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	11.8
4	Loads	8.7
4	Stores	4.5
2	Front-End Bound	28.3
3	IFetch Latency	11.3
4	ICache Misses	5.6
4	ITLB Misses	1.4
4	BACLEARS	3.3
4	Branch Resteers	0.3
3	IFetch Bandwidth	17.1
4	Cisc	3.1
4	Decode	8.6
4	Pre-Decode Wrong	0.2
4	Front-End Other	3.5
2	Bad Speculation	0.2
3	Branch Mispredict	27.7
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.0
2	Back-End Bound	25.4
