Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	61.077515
1	Clockticks	6489000000
2	Performance-core (P-core)	5019000000
1	Instructions Retired	271194000000
2	Performance-core (P-core)	268857000000
1	CPI Rate	0.023928
2	Performance-core (P-core)	0.018668
1	Performance-core (P-core)	
2	Retiring	25.3
3	Light Operations	23.3
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	12.0
4	Fused Instructions	2.6
4	Non Fused Branches	1.5
4	Other	7.1
5	Nop Instructions	0.1
5	Shuffles_256b	0.0
3	Heavy Operations	2.1
4	Few Uops Instructions	1.8
4	Microcode Sequencer	0.3
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.3
2	Front-End Bound	26.8
3	Front-End Latency	16.7
4	ICache Misses	8.6
5	Code L2 Hit	8.5
5	Code L2 Miss	0.1
4	ITLB Misses	0.5
5	Code STLB Hit	0.4
5	Code STLB Miss	0.1
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	31.7
5	Mispredicts Resteers	23.6
5	Clears Resteers	7.5
5	Unknown Branches	0.6
4	MS Switches	7.4
4	Length Changing Prefixes	0.0
4	DSB Switches	42.5
3	Front-End Bandwidth	10.1
4	Front-End Bandwidth MITE	5.5
5	Decoder-0 Alone	0.9
4	Front-End Bandwidth DSB	5.2
4	Front-End Bandwidth LSD	0.0
4	MS	0.6
4	(Info) DSB Coverage	43.4
4	(Info) LSD Coverage	2.2
4	(Info) DSB Misses	12.9
2	Bad Speculation	38.4
3	Branch Mispredict	29.2
4	Other Mispredicts	1.9
3	Machine Clears	9.2
4	Other Nukes	0.0
2	Back-End Bound	9.4
3	Memory Bound	1.8
4	L1 Bound	35.5
5	DTLB Overhead	6.7
6	Load STLB Hit	5.7
6	Load STLB Miss	1.0
7	Load STLB Miss 4K	1.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	75.0
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.6
4	L2 Bound	2.7
5	L2 Hit Latency	0.3
4	L3 Bound	1.4
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.1
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	3.9
5	Memory Latency	8.2
4	Store Bound	1.9
5	Store Latency	4.4
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	8.8
6	Store STLB Hit	8.7
6	Store STLB Miss	0.1
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	7.6
4	Divider	1.4
5	FP Divider	0.0
5	INT Divider	1.4
4	Serializing Operations	2.1
5	Slow Pause	1.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	68.8
5	Cycles of 0 Ports Utilized	5.4
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	41.8
5	Cycles of 2 Ports Utilized	43.1
5	Cycles of 3+ Ports Utilized	100.0
6	ALU Operation Utilization	18.0
7	Port 0	17.0
7	Port 1	11.5
7	Port 6	33.5
6	Load Operation Utilization	29.7
6	Store Operation Utilization	19.5
5	Vector Capacity Usage (FPU)	6.2
1	Efficient-core (E-core)	
2	Retiring	43.6
3	Arith Ops	28.9
4	Non Divider	28.9
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	14.7
4	Loads	10.2
4	Stores	5.8
2	Front-End Bound	34.4
3	IFetch Latency	14.5
4	ICache Misses	7.5
4	ITLB Misses	1.9
4	BACLEARS	4.3
4	Branch Resteers	0.4
3	IFetch Bandwidth	19.9
4	Cisc	4.3
4	Decode	8.1
4	Pre-Decode Wrong	0.4
4	Front-End Other	4.3
2	Bad Speculation	2.0
3	Branch Mispredict	21.1
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.1
2	Back-End Bound	20.0
3	Memory Subsystem Bound	13.0
4	L2 Bound	10.3
4	L2 Miss	2.3
5	L3 Bound	0.6
5	Memory Bound	1.7
3	Core Bound	7.0
4	Serializing Operations	6.7
5	Pause	1.8
5	TPause	0.0
4	L1 Bound	0.2
4	RB Bound	0.0
4	Store Bound	0.0
4	Execution Bound	0.0
4	Allocation Bound	0.1
5	Allocation Restriction	0.1
2	Info Metrics	
3	Stores Bound	0.005787
3	Load Bound	0.154572
1	Average CPU Frequency	108592307.468589
1	Total Thread Count	92
1	Paused Time	0.0
0	Effective Physical Core Utilization	11.6% (2.774 out of 24)
1	Effective Logical Core Utilization	3.1% (0.978 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	83155782
1	Collection start time	07:32:42 12/06/2026 UTC
1	Collection stop time	07:33:43 12/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199752
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
