Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	61.778659
1	Clockticks	119382000000
2	Performance-core (P-core)	118548000000
1	Instructions Retired	368010000000
2	Performance-core (P-core)	366573000000
1	CPI Rate	0.324399
2	Performance-core (P-core)	0.323395
1	Performance-core (P-core)	
2	Retiring	38.6
3	Light Operations	33.8
4	FP Arithmetic	10.4
5	FP x87	10.4
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	17.5
4	Fused Instructions	0.5
4	Non Fused Branches	0.4
4	Other	5.0
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	4.8
4	Few Uops Instructions	4.7
4	Microcode Sequencer	0.1
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.1
2	Front-End Bound	15.4
3	Front-End Latency	1.4
4	ICache Misses	0.0
5	Code L2 Hit	0.0
5	Code L2 Miss	0.0
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	0.8
5	Mispredicts Resteers	0.4
5	Clears Resteers	0.4
5	Unknown Branches	0.0
4	MS Switches	0.4
4	Length Changing Prefixes	0.0
4	DSB Switches	0.3
3	Front-End Bandwidth	14.0
4	Front-End Bandwidth MITE	0.2
5	Decoder-0 Alone	0.1
4	Front-End Bandwidth DSB	2.1
4	Front-End Bandwidth LSD	0.2
4	MS	0.1
4	(Info) DSB Coverage	58.9
4	(Info) LSD Coverage	2.7
4	(Info) DSB Misses	1.2
2	Bad Speculation	12.5
3	Branch Mispredict	6.6
4	Other Mispredicts	1.1
3	Machine Clears	5.9
4	Other Nukes	3.0
2	Back-End Bound	33.5
3	Memory Bound	3.7
4	L1 Bound	6.2
5	DTLB Overhead	1.9
6	Load STLB Hit	1.9
6	Load STLB Miss	0.0
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.1
5	L1 Latency Dependency	31.3
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.7
5	L2 Hit Latency	100.0
4	L3 Bound	0.1
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.2
5	Memory Latency	1.3
4	Store Bound	0.0
5	Store Latency	0.2
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	5.1
6	Store STLB Hit	5.0
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	29.9
4	Divider	36.0
5	FP Divider	22.6
5	INT Divider	13.4
4	Serializing Operations	0.5
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	33.1
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	18.1
5	Cycles of 2 Ports Utilized	22.0
5	Cycles of 3+ Ports Utilized	49.3
6	ALU Operation Utilization	22.4
7	Port 0	48.0
7	Port 1	3.4
7	Port 6	8.8
6	Load Operation Utilization	30.4
6	Store Operation Utilization	19.8
5	Vector Capacity Usage (FPU)	6.2
1	Efficient-core (E-core)	
2	Retiring	42.4
3	Arith Ops	28.8
4	Non Divider	28.8
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	13.6
4	Loads	9.1
4	Stores	5.0
2	Front-End Bound	26.6
3	IFetch Latency	13.7
4	ICache Misses	5.0
4	ITLB Misses	0.7
4	BACLEARS	2.9
4	Branch Resteers	0.8
3	IFetch Bandwidth	12.9
4	Cisc	5.1
4	Decode	7.1
4	Pre-Decode Wrong	0.2
4	Front-End Other	3.2
2	Bad Speculation	4.3
3	Branch Mispredict	20.7
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.5
2	Back-End Bound	26.7
3	Memory Subsystem Bound	15.0
4	L2 Bound	10.3
4	L2 Miss	3.7
5	L3 Bound	2.2
5	Memory Bound	1.5
3	Core Bound	11.7
4	Serializing Operations	9.3
5	Pause	1.6
5	TPause	0.0
4	L1 Bound	0.0
4	RB Bound	0.0
