Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	60.838006
1	Clockticks	45366000000
2	Performance-core (P-core)	44361000000
1	Instructions Retired	471837000000
2	Performance-core (P-core)	470148000000
1	CPI Rate	0.096148
2	Performance-core (P-core)	0.094355
1	Performance-core (P-core)	
2	Retiring	50.5
3	Light Operations	44.6
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	28.4
4	Fused Instructions	1.8
4	Non Fused Branches	1.4
4	Other	13.0
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	5.9
4	Few Uops Instructions	2.3
4	Microcode Sequencer	3.6
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	3.6
2	Front-End Bound	15.2
3	Front-End Latency	10.3
4	ICache Misses	0.3
5	Code L2 Hit	0.1
5	Code L2 Miss	0.2
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	1.6
5	Mispredicts Resteers	1.0
5	Clears Resteers	0.7
5	Unknown Branches	0.0
4	MS Switches	7.6
4	Length Changing Prefixes	0.1
4	DSB Switches	2.8
3	Front-End Bandwidth	5.0
4	Front-End Bandwidth MITE	2.0
5	Decoder-0 Alone	0.5
4	Front-End Bandwidth DSB	3.6
4	Front-End Bandwidth LSD	0.0
4	MS	3.5
4	(Info) DSB Coverage	45.9
4	(Info) LSD Coverage	3.4
4	(Info) DSB Misses	3.4
2	Bad Speculation	12.9
3	Branch Mispredict	7.6
4	Other Mispredicts	3.7
3	Machine Clears	5.3
4	Other Nukes	0.6
2	Back-End Bound	21.4
3	Memory Bound	4.4
4	L1 Bound	7.7
5	DTLB Overhead	1.6
6	Load STLB Hit	1.5
6	Load STLB Miss	0.1
7	Load STLB Miss 4K	0.1
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	54.3
5	Lock Latency	0.0
5	Split Loads	0.9
5	FB Full	0.0
4	L2 Bound	0.2
5	L2 Hit Latency	15.8
4	L3 Bound	0.2
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.9
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.7
5	Memory Latency	2.1
4	Store Bound	0.2
5	Store Latency	1.3
5	False Sharing	0.0
5	Split Stores	0.1
5	Streaming Stores	0.0
5	DTLB Store Overhead	4.6
6	Store STLB Hit	4.6
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	17.0
4	Divider	1.3
5	FP Divider	0.0
5	INT Divider	1.3
4	Serializing Operations	3.3
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	14.8
5	Cycles of 0 Ports Utilized	0.2
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	5.9
5	Cycles of 2 Ports Utilized	7.2
5	Cycles of 3+ Ports Utilized	67.1
6	ALU Operation Utilization	25.9
7	Port 0	24.4
7	Port 1	22.3
7	Port 6	36.7
6	Load Operation Utilization	50.8
6	Store Operation Utilization	27.7
5	Vector Capacity Usage (FPU)	6.2
1	Efficient-core (E-core)	
2	Retiring	44.2
3	Arith Ops	23.2
4	Non Divider	23.2
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	21.0
4	Loads	15.6
4	Stores	8.5
2	Front-End Bound	26.2
3	IFetch Latency	16.0
4	ICache Misses	6.4
4	ITLB Misses	1.3
4	BACLEARS	3.3
4	Branch Resteers	0.5
3	IFetch Bandwidth	10.2
4	Cisc	3.7
4	Decode	10.2
4	Pre-Decode Wrong	0.2
4	Front-End Other	3.8
2	Bad Speculation	3.9
3	Branch Mispredict	30.2
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.2
2	Back-End Bound	25.7
3	Memory Subsystem Bound	12.9
4	L2 Bound	9.0
4	L2 Miss	4.2
5	L3 Bound	1.1
5	Memory Bound	3.1
3	Core Bound	12.9
4	Serializing Operations	8.7
5	Pause	2.1
5	TPause	0.0
4	L1 Bound	1.1
4	RB Bound	0.0
4	Store Bound	2.3
4	Execution Bound	0.0
4	Allocation Bound	0.7
5	Allocation Restriction	0.7
2	Info Metrics	
3	Stores Bound	0.032752
3	Load Bound	0.144211
1	Average CPU Frequency	9053250164.727964
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.3% (0.080 out of 24)
1	Effective Logical Core Utilization	0.3% (0.082 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	88549539
1	Collection start time	07:35:11 12/06/2026 UTC
1	Collection stop time	07:36:12 12/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199747
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
