Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	62.246863
1	Clockticks	5835000000
2	Performance-core (P-core)	5040000000
1	Instructions Retired	283266000000
2	Performance-core (P-core)	281658000000
1	CPI Rate	0.020599
2	Performance-core (P-core)	0.017894
1	Performance-core (P-core)	
2	Retiring	24.1
3	Light Operations	23.5
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	15.4
4	Fused Instructions	2.8
4	Non Fused Branches	1.0
4	Other	4.3
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	0.6
4	Few Uops Instructions	0.6
4	Microcode Sequencer	0.1
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.1
2	Front-End Bound	17.5
3	Front-End Latency	9.6
4	ICache Misses	0.3
5	Code L2 Hit	0.0
5	Code L2 Miss	0.5
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	6.2
5	Mispredicts Resteers	5.5
5	Clears Resteers	0.7
5	Unknown Branches	0.0
4	MS Switches	0.3
4	Length Changing Prefixes	0.0
4	DSB Switches	0.9
3	Front-End Bandwidth	8.0
4	Front-End Bandwidth MITE	0.6
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	9.8
4	Front-End Bandwidth LSD	0.0
4	MS	0.1
4	(Info) DSB Coverage	65.8
4	(Info) LSD Coverage	0.7
4	(Info) DSB Misses	1.5
2	Bad Speculation	46.4
3	Branch Mispredict	41.4
4	Other Mispredicts	0.5
3	Machine Clears	5.1
4	Other Nukes	0.0
2	Back-End Bound	11.9
3	Memory Bound	1.1
4	L1 Bound	6.3
5	DTLB Overhead	1.2
6	Load STLB Hit	1.1
6	Load STLB Miss	0.1
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	31.1
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.0
5	L2 Hit Latency	0.4
4	L3 Bound	0.1
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.0
5	Memory Latency	1.3
4	Store Bound	0.0
5	Store Latency	0.2
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	1.8
6	Store STLB Hit	1.8
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	10.8
4	Divider	0.4
5	FP Divider	0.2
5	INT Divider	0.1
4	Serializing Operations	0.6
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	10.4
5	Cycles of 0 Ports Utilized	0.3
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	3.9
5	Cycles of 2 Ports Utilized	11.1
5	Cycles of 3+ Ports Utilized	55.8
6	ALU Operation Utilization	17.3
7	Port 0	11.9
7	Port 1	12.6
7	Port 6	34.7
6	Load Operation Utilization	51.4
6	Store Operation Utilization	10.7
5	Vector Capacity Usage (FPU)	6.2
1	Efficient-core (E-core)	
2	Retiring	40.9
3	Arith Ops	30.0
4	Non Divider	30.0
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	10.9
4	Loads	7.5
4	Stores	4.3
2	Front-End Bound	25.5
3	IFetch Latency	11.1
4	ICache Misses	5.2
4	ITLB Misses	1.1
4	BACLEARS	3.7
4	Branch Resteers	0.2
3	IFetch Bandwidth	14.4
4	Cisc	3.7
4	Decode	7.8
4	Pre-Decode Wrong	0.1
4	Front-End Other	2.9
2	Bad Speculation	9.9
3	Branch Mispredict	21.9
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.0
2	Back-End Bound	23.7
3	Memory Subsystem Bound	14.1
4	L2 Bound	7.7
4	L2 Miss	5.0
5	L3 Bound	1.3
5	Memory Bound	3.7
3	Core Bound	9.5
4	Serializing Operations	5.6
5	Pause	2.0
5	TPause	0.0
4	L1 Bound	1.3
4	RB Bound	0.0
4	Store Bound	2.1
4	Execution Bound	0.0
4	Allocation Bound	0.6
5	Allocation Restriction	0.6
2	Info Metrics	
3	Stores Bound	0.028154
3	Load Bound	0.157968
1	Average CPU Frequency	821441555.253807
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.4% (0.100 out of 24)
1	Effective Logical Core Utilization	0.4% (0.114 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	57321372
1	Collection start time	07:36:25 12/06/2026 UTC
1	Collection stop time	07:37:28 12/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199748
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
