Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	57.764691
1	Clockticks	31896000000
2	Performance-core (P-core)	31002000000
1	Instructions Retired	298395000000
2	Performance-core (P-core)	296931000000
1	CPI Rate	0.106892
2	Performance-core (P-core)	0.104408
1	Performance-core (P-core)	
2	Retiring	33.6
3	Light Operations	29.8
4	FP Arithmetic	12.7
5	FP x87	12.7
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	13.0
4	Fused Instructions	0.2
4	Non Fused Branches	0.2
4	Other	3.7
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	3.8
4	Few Uops Instructions	3.7
4	Microcode Sequencer	0.1
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.1
2	Front-End Bound	12.6
3	Front-End Latency	0.4
4	ICache Misses	0.2
5	Code L2 Hit	0.1
5	Code L2 Miss	0.1
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	0.3
5	Mispredicts Resteers	0.0
5	Clears Resteers	0.3
5	Unknown Branches	0.0
4	MS Switches	0.2
4	Length Changing Prefixes	0.0
4	DSB Switches	0.2
3	Front-End Bandwidth	12.2
4	Front-End Bandwidth MITE	0.2
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	1.1
4	Front-End Bandwidth LSD	0.0
4	MS	0.1
4	(Info) DSB Coverage	60.9
4	(Info) LSD Coverage	0.2
4	(Info) DSB Misses	1.7
2	Bad Speculation	5.7
3	Branch Mispredict	0.5
4	Other Mispredicts	0.1
3	Machine Clears	5.2
4	Other Nukes	5.2
2	Back-End Bound	48.1
3	Memory Bound	5.0
4	L1 Bound	4.8
5	DTLB Overhead	0.7
6	Load STLB Hit	0.6
6	Load STLB Miss	0.1
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	1.1
5	L1 Latency Dependency	25.5
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.1
4	L2 Bound	0.1
5	L2 Hit Latency	1.6
4	L3 Bound	0.2
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.2
5	SQ Full	0.5
4	DRAM Bound	0.2
5	Memory Bandwidth	19.2
5	Memory Latency	14.8
4	Store Bound	1.9
5	Store Latency	12.5
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	4.3
6	Store STLB Hit	3.1
6	Store STLB Miss	1.2
7	Store STLB Miss 4K	1.2
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	43.1
4	Divider	7.6
5	FP Divider	4.7
5	INT Divider	2.8
