Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	62.586465
1	Clockticks	60753000000
2	Performance-core (P-core)	59880000000
1	Instructions Retired	275025000000
2	Performance-core (P-core)	273543000000
1	CPI Rate	0.220900
2	Performance-core (P-core)	0.218905
1	Performance-core (P-core)	
2	Retiring	25.2
3	Light Operations	22.9
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	8.1
4	Fused Instructions	2.2
4	Non Fused Branches	1.7
4	Other	11.0
5	Nop Instructions	0.1
5	Shuffles_256b	0.0
3	Heavy Operations	2.3
4	Few Uops Instructions	2.1
4	Microcode Sequencer	0.2
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.2
2	Front-End Bound	24.3
3	Front-End Latency	14.8
4	ICache Misses	0.2
5	Code L2 Hit	0.2
5	Code L2 Miss	0.0
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	6.4
5	Mispredicts Resteers	5.2
5	Clears Resteers	1.2
5	Unknown Branches	0.1
4	MS Switches	0.6
4	Length Changing Prefixes	0.1
4	DSB Switches	7.2
3	Front-End Bandwidth	9.5
4	Front-End Bandwidth MITE	1.8
5	Decoder-0 Alone	0.4
4	Front-End Bandwidth DSB	9.0
4	Front-End Bandwidth LSD	0.0
4	MS	0.2
4	(Info) DSB Coverage	58.0
4	(Info) LSD Coverage	1.2
4	(Info) DSB Misses	8.9
2	Bad Speculation	41.8
3	Branch Mispredict	34.1
4	Other Mispredicts	2.3
3	Machine Clears	7.7
4	Other Nukes	1.9
2	Back-End Bound	8.7
3	Memory Bound	1.1
4	L1 Bound	9.8
5	DTLB Overhead	1.1
6	Load STLB Hit	1.1
6	Load STLB Miss	0.1
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	15.3
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.5
5	L2 Hit Latency	41.5
4	L3 Bound	0.1
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.5
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.1
5	Memory Latency	0.2
4	Store Bound	0.2
5	Store Latency	0.4
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	1.1
6	Store STLB Hit	1.1
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	7.6
4	Divider	4.2
5	FP Divider	0.0
5	INT Divider	4.2
4	Serializing Operations	0.2
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	20.1
5	Cycles of 0 Ports Utilized	0.4
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	12.7
5	Cycles of 2 Ports Utilized	14.0
5	Cycles of 3+ Ports Utilized	41.5
6	ALU Operation Utilization	24.2
7	Port 0	21.6
7	Port 1	19.3
7	Port 6	39.8
6	Load Operation Utilization	21.6
6	Store Operation Utilization	11.3
5	Vector Capacity Usage (FPU)	6.2
1	Efficient-core (E-core)	
2	Retiring	40.6
3	Arith Ops	31.1
4	Non Divider	31.1
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	9.5
4	Loads	7.1
4	Stores	3.7
2	Front-End Bound	29.6
3	IFetch Latency	13.4
4	ICache Misses	5.1
4	ITLB Misses	1.2
4	BACLEARS	3.5
4	Branch Resteers	0.3
3	IFetch Bandwidth	16.3
4	Cisc	5.9
4	Decode	8.7
4	Pre-Decode Wrong	0.2
4	Front-End Other	2.7
2	Bad Speculation	5.9
3	Branch Mispredict	20.3
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.0
2	Back-End Bound	23.9
3	Memory Subsystem Bound	12.2
4	L2 Bound	8.5
4	L2 Miss	3.0
5	L3 Bound	2.0
5	Memory Bound	1.1
3	Core Bound	11.7
4	Serializing Operations	4.3
5	Pause	1.5
5	TPause	0.0
4	L1 Bound	1.3
4	RB Bound	0.0
4	Store Bound	0.4
4	Execution Bound	5.3
4	Allocation Bound	0.5
5	Allocation Restriction	0.5
2	Info Metrics	
3	Stores Bound	0.003583
3	Load Bound	0.134431
1	Average CPU Frequency	36517634062.463577
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.1% (0.026 out of 24)
1	Effective Logical Core Utilization	0.1% (0.027 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	63377396
1	Collection start time	08:11:11 12/06/2026 UTC
1	Collection stop time	08:12:13 12/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199752
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
