Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	54.971608
1	Clockticks	4665000000
2	Performance-core (P-core)	3813000000
1	Instructions Retired	527121000000
2	Performance-core (P-core)	525696000000
1	CPI Rate	0.008850
2	Performance-core (P-core)	0.007253
1	Performance-core (P-core)	
2	Retiring	56.7
3	Light Operations	50.8
4	FP Arithmetic	8.6
5	FP x87	8.6
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	31.1
4	Fused Instructions	2.3
4	Non Fused Branches	0.1
4	Other	8.7
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	5.8
4	Few Uops Instructions	5.7
4	Microcode Sequencer	0.1
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.1
2	Front-End Bound	19.1
3	Front-End Latency	5.9
4	ICache Misses	0.2
5	Code L2 Hit	0.0
5	Code L2 Miss	1.1
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	1.6
5	Mispredicts Resteers	1.1
5	Clears Resteers	0.5
5	Unknown Branches	0.0
4	MS Switches	0.3
4	Length Changing Prefixes	0.0
4	DSB Switches	1.6
3	Front-End Bandwidth	13.2
4	Front-End Bandwidth MITE	1.1
5	Decoder-0 Alone	0.2
4	Front-End Bandwidth DSB	3.1
4	Front-End Bandwidth LSD	1.3
4	MS	0.1
4	(Info) DSB Coverage	41.6
4	(Info) LSD Coverage	14.4
4	(Info) DSB Misses	5.0
2	Bad Speculation	4.8
3	Branch Mispredict	3.3
4	Other Mispredicts	2.8
3	Machine Clears	1.5
4	Other Nukes	0.5
2	Back-End Bound	19.5
3	Memory Bound	3.8
4	L1 Bound	2.6
5	DTLB Overhead	2.9
6	Load STLB Hit	2.4
6	Load STLB Miss	0.6
7	Load STLB Miss 4K	0.6
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.1
5	L1 Latency Dependency	66.4
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.4
4	L2 Bound	0.2
5	L2 Hit Latency	8.3
4	L3 Bound	0.6
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.2
5	SQ Full	0.8
4	DRAM Bound	0.9
5	Memory Bandwidth	22.2
5	Memory Latency	13.1
4	Store Bound	0.9
5	Store Latency	5.4
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	2.9
6	Store STLB Hit	2.5
6	Store STLB Miss	0.4
7	Store STLB Miss 4K	0.4
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	15.7
4	Divider	21.9
5	FP Divider	13.2
5	INT Divider	8.7
4	Serializing Operations	0.7
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	12.5
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	4.3
5	Cycles of 2 Ports Utilized	6.3
5	Cycles of 3+ Ports Utilized	78.1
6	ALU Operation Utilization	34.0
7	Port 0	40.2
7	Port 1	26.5
7	Port 6	34.6
6	Load Operation Utilization	57.8
6	Store Operation Utilization	24.3
5	Vector Capacity Usage (FPU)	6.2
1	Efficient-core (E-core)	
2	Retiring	42.5
3	Arith Ops	30.7
4	Non Divider	30.7
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	11.9
4	Loads	8.4
4	Stores	4.5
2	Front-End Bound	28.1
3	IFetch Latency	10.2
4	ICache Misses	6.3
4	ITLB Misses	1.3
4	BACLEARS	2.7
4	Branch Resteers	0.6
3	IFetch Bandwidth	17.9
4	Cisc	3.6
4	Decode	7.6
4	Pre-Decode Wrong	0.2
4	Front-End Other	2.9
2	Bad Speculation	3.1
3	Branch Mispredict	24.7
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.4
2	Back-End Bound	26.3
3	Memory Subsystem Bound	13.2
