Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	53.982073
1	Clockticks	24894000000
2	Performance-core (P-core)	23955000000
1	Instructions Retired	178194000000
2	Performance-core (P-core)	176643000000
1	CPI Rate	0.139702
2	Performance-core (P-core)	0.135613
1	Performance-core (P-core)	
2	Retiring	17.6
3	Light Operations	17.1
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	10.8
4	Fused Instructions	1.9
4	Non Fused Branches	1.0
4	Other	3.4
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	0.4
4	Few Uops Instructions	0.3
4	Microcode Sequencer	0.1
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.1
2	Front-End Bound	7.8
3	Front-End Latency	4.3
4	ICache Misses	0.2
5	Code L2 Hit	0.0
5	Code L2 Miss	0.2
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	2.3
5	Mispredicts Resteers	2.1
5	Clears Resteers	0.2
5	Unknown Branches	0.0
4	MS Switches	0.5
4	Length Changing Prefixes	0.0
4	DSB Switches	0.5
3	Front-End Bandwidth	3.6
4	Front-End Bandwidth MITE	0.3
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	4.9
4	Front-End Bandwidth LSD	0.0
4	MS	0.2
4	(Info) DSB Coverage	62.3
4	(Info) LSD Coverage	6.1
4	(Info) DSB Misses	0.8
2	Bad Speculation	25.1
3	Branch Mispredict	23.1
4	Other Mispredicts	3.5
3	Machine Clears	2.0
4	Other Nukes	0.0
2	Back-End Bound	49.5
3	Memory Bound	30.7
4	L1 Bound	5.7
5	DTLB Overhead	29.7
6	Load STLB Hit	17.0
6	Load STLB Miss	12.7
7	Load STLB Miss 4K	12.7
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	15.9
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	1.9
4	L2 Bound	3.6
5	L2 Hit Latency	100.0
4	L3 Bound	23.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	100.0
5	SQ Full	0.5
4	DRAM Bound	8.4
5	Memory Bandwidth	34.8
5	Memory Latency	11.8
4	Store Bound	0.3
5	Store Latency	0.3
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	24.4
6	Store STLB Hit	24.0
6	Store STLB Miss	0.4
