Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	61.434737
1	Clockticks	4233000000
2	Performance-core (P-core)	3375000000
1	Instructions Retired	244434000000
2	Performance-core (P-core)	242517000000
1	CPI Rate	0.017318
2	Performance-core (P-core)	0.013917
1	Performance-core (P-core)	
2	Retiring	23.7
3	Light Operations	21.3
4	FP Arithmetic	5.9
5	FP x87	5.9
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	7.9
4	Fused Instructions	0.9
4	Non Fused Branches	0.6
4	Other	6.0
5	Nop Instructions	0.1
5	Shuffles_256b	0.0
3	Heavy Operations	2.4
4	Few Uops Instructions	1.8
4	Microcode Sequencer	0.6
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.6
2	Front-End Bound	8.8
3	Front-End Latency	1.5
4	ICache Misses	0.5
5	Code L2 Hit	0.1
5	Code L2 Miss	0.4
4	ITLB Misses	0.1
5	Code STLB Hit	0.1
5	Code STLB Miss	0.1
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	0.2
5	Mispredicts Resteers	0.0
5	Clears Resteers	0.1
5	Unknown Branches	0.0
4	MS Switches	1.7
4	Length Changing Prefixes	0.0
4	DSB Switches	0.8
3	Front-End Bandwidth	7.3
4	Front-End Bandwidth MITE	0.5
5	Decoder-0 Alone	0.1
4	Front-End Bandwidth DSB	1.2
4	Front-End Bandwidth LSD	0.0
4	MS	0.9
4	(Info) DSB Coverage	58.6
4	(Info) LSD Coverage	1.8
4	(Info) DSB Misses	1.6
2	Bad Speculation	7.9
3	Branch Mispredict	1.0
4	Other Mispredicts	0.8
3	Machine Clears	6.9
4	Other Nukes	6.9
2	Back-End Bound	59.6
3	Memory Bound	44.2
4	L1 Bound	2.4
5	DTLB Overhead	5.9
6	Load STLB Hit	3.6
6	Load STLB Miss	2.3
7	Load STLB Miss 4K	2.3
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.4
5	L1 Latency Dependency	11.2
5	Lock Latency	0.0
5	Split Loads	0.3
5	FB Full	2.2
4	L2 Bound	0.5
5	L2 Hit Latency	16.1
4	L3 Bound	5.2
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	6.4
5	SQ Full	2.7
4	DRAM Bound	37.5
5	Memory Bandwidth	42.3
5	Memory Latency	8.1
4	Store Bound	1.7
5	Store Latency	10.2
5	False Sharing	0.0
5	Split Stores	0.1
5	Streaming Stores	0.0
5	DTLB Store Overhead	4.3
6	Store STLB Hit	2.8
6	Store STLB Miss	1.6
7	Store STLB Miss 4K	1.6
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	15.3
4	Divider	0.1
5	FP Divider	0.0
5	INT Divider	0.1
4	Serializing Operations	2.3
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	17.1
5	Cycles of 0 Ports Utilized	0.1
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	12.5
5	Cycles of 2 Ports Utilized	12.5
5	Cycles of 3+ Ports Utilized	20.2
6	ALU Operation Utilization	15.7
7	Port 0	28.8
7	Port 1	5.4
7	Port 6	13.5
6	Load Operation Utilization	12.6
6	Store Operation Utilization	8.3
5	Vector Capacity Usage (FPU)	6.2
1	Efficient-core (E-core)	
2	Retiring	38.7
3	Arith Ops	24.2
4	Non Divider	24.2
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	14.5
4	Loads	10.3
4	Stores	5.4
2	Front-End Bound	23.5
3	IFetch Latency	16.4
4	ICache Misses	6.7
4	ITLB Misses	1.7
4	BACLEARS	2.8
4	Branch Resteers	0.3
3	IFetch Bandwidth	7.1
4	Cisc	4.1
4	Decode	8.0
