Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	62.032425
1	Clockticks	2910000000
2	Performance-core (P-core)	1785000000
1	Instructions Retired	641508000000
2	Performance-core (P-core)	639678000000
1	CPI Rate	0.004536
2	Performance-core (P-core)	0.002790
1	Performance-core (P-core)	
2	Retiring	65.3
3	Light Operations	63.3
4	FP Arithmetic	47.7
5	FP x87	0.0
5	FP Scalar	47.7
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	27.5
4	Fused Instructions	0.9
4	Non Fused Branches	0.3
4	Other	0.0
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	2.0
4	Few Uops Instructions	1.9
4	Microcode Sequencer	0.1
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.1
2	Front-End Bound	13.1
3	Front-End Latency	7.1
4	ICache Misses	0.0
5	Code L2 Hit	0.0
5	Code L2 Miss	0.0
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	3.6
5	Mispredicts Resteers	
5	Clears Resteers	
5	Unknown Branches	0.0
4	MS Switches	0.2
4	Length Changing Prefixes	0.0
4	DSB Switches	0.2
3	Front-End Bandwidth	6.0
4	Front-End Bandwidth MITE	1.7
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	3.0
4	Front-End Bandwidth LSD	0.0
4	MS	0.1
4	(Info) DSB Coverage	41.7
4	(Info) LSD Coverage	9.8
4	(Info) DSB Misses	2.8
2	Bad Speculation	0.0
3	Branch Mispredict	8.0
4	Other Mispredicts	1.1
3	Machine Clears	0.0
4	Other Nukes	0.0
2	Back-End Bound	25.8
3	Memory Bound	4.7
4	L1 Bound	7.2
5	DTLB Overhead	0.3
6	Load STLB Hit	0.2
6	Load STLB Miss	0.0
