Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	62.424794
1	Clockticks	2145000000
2	Performance-core (P-core)	1098000000
1	Instructions Retired	445245000000
2	Performance-core (P-core)	443493000000
1	CPI Rate	0.004818
2	Performance-core (P-core)	0.002476
1	Performance-core (P-core)	
2	Retiring	63.0
3	Light Operations	56.9
4	FP Arithmetic	15.0
5	FP x87	15.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	16.8
4	Fused Instructions	0.7
4	Non Fused Branches	0.8
4	Other	23.6
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	6.1
4	Few Uops Instructions	6.0
4	Microcode Sequencer	0.1
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.1
2	Front-End Bound	36.2
3	Front-End Latency	16.2
4	ICache Misses	0.0
5	Code L2 Hit	0.0
5	Code L2 Miss	0.0
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	4.0
5	Mispredicts Resteers	
5	Clears Resteers	
5	Unknown Branches	0.0
4	MS Switches	0.2
4	Length Changing Prefixes	0.0
4	DSB Switches	0.1
3	Front-End Bandwidth	20.0
4	Front-End Bandwidth MITE	3.1
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	4.8
4	Front-End Bandwidth LSD	1.5
4	MS	0.1
4	(Info) DSB Coverage	46.4
4	(Info) LSD Coverage	7.1
4	(Info) DSB Misses	6.8
2	Bad Speculation	0.0
3	Branch Mispredict	9.0
4	Other Mispredicts	0.3
3	Machine Clears	0.0
4	Other Nukes	0.0
2	Back-End Bound	28.9
3	Memory Bound	1.2
4	L1 Bound	3.1
5	DTLB Overhead	0.1
6	Load STLB Hit	0.1
6	Load STLB Miss	0.0
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	30.9
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.2
5	L2 Hit Latency	2.4
4	L3 Bound	0.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.1
5	Memory Latency	7.0
4	Store Bound	0.0
5	Store Latency	0.2
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	0.2
6	Store STLB Hit	0.2
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	27.7
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	2.7
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	32.2
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	10.2
5	Cycles of 2 Ports Utilized	17.5
5	Cycles of 3+ Ports Utilized	60.8
6	ALU Operation Utilization	38.8
7	Port 0	67.4
7	Port 1	14.9
7	Port 6	35.7
6	Load Operation Utilization	46.6
6	Store Operation Utilization	18.2
5	Vector Capacity Usage (FPU)	6.2
1	Efficient-core (E-core)	
2	Retiring	33.5
3	Arith Ops	18.3
4	Non Divider	18.3
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	15.2
4	Loads	10.7
4	Stores	5.9
2	Front-End Bound	21.5
3	IFetch Latency	9.6
4	ICache Misses	4.8
4	ITLB Misses	1.0
4	BACLEARS	2.7
4	Branch Resteers	0.5
3	IFetch Bandwidth	11.9
4	Cisc	2.3
4	Decode	6.3
4	Pre-Decode Wrong	0.2
4	Front-End Other	2.8
2	Bad Speculation	29.7
3	Branch Mispredict	21.6
3	Machine Clears	8.1
4	Ucode_Assist	0.0
4	Machine_Restart	0.2
2	Back-End Bound	15.3
3	Memory Subsystem Bound	11.4
4	L2 Bound	8.9
4	L2 Miss	2.2
5	L3 Bound	1.0
5	Memory Bound	1.2
3	Core Bound	3.9
4	Serializing Operations	3.9
5	Pause	1.0
5	TPause	0.0
4	L1 Bound	0.0
4	RB Bound	0.0
4	Store Bound	0.0
4	Execution Bound	0.0
4	Allocation Bound	0.0
5	Allocation Restriction	0.0
2	Info Metrics	
3	Stores Bound	0.017004
3	Load Bound	0.130363
1	Average CPU Frequency	735933958.946735
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.1% (0.023 out of 24)
1	Effective Logical Core Utilization	0.1% (0.047 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	71905762
1	Collection start time	07:43:15 12/06/2026 UTC
1	Collection stop time	07:44:18 12/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199749
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
