Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	42.547758
1	Clockticks	4683000000
2	Performance-core (P-core)	3870000000
1	Instructions Retired	153081000000
2	Performance-core (P-core)	151713000000
1	CPI Rate	0.030592
2	Performance-core (P-core)	0.025509
1	Performance-core (P-core)	
2	Retiring	21.5
3	Light Operations	20.1
4	FP Arithmetic	0.1
5	FP x87	0.0
5	FP Scalar	0.1
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	10.4
4	Fused Instructions	1.9
4	Non Fused Branches	1.7
4	Other	6.0
5	Nop Instructions	0.2
5	Shuffles_256b	0.0
3	Heavy Operations	1.3
4	Few Uops Instructions	1.3
4	Microcode Sequencer	0.1
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.1
2	Front-End Bound	12.9
3	Front-End Latency	6.7
4	ICache Misses	1.1
5	Code L2 Hit	0.3
5	Code L2 Miss	0.7
4	ITLB Misses	0.4
5	Code STLB Hit	0.3
5	Code STLB Miss	0.1
6	Code STLB Miss 4K	0.1
6	Code STLB Miss 2M	0.0
4	Branch Resteers	3.6
5	Mispredicts Resteers	2.2
5	Clears Resteers	1.3
5	Unknown Branches	0.1
4	MS Switches	0.3
4	Length Changing Prefixes	0.0
4	DSB Switches	5.7
3	Front-End Bandwidth	6.1
4	Front-End Bandwidth MITE	1.8
5	Decoder-0 Alone	0.3
4	Front-End Bandwidth DSB	6.0
4	Front-End Bandwidth LSD	0.0
4	MS	0.1
4	(Info) DSB Coverage	54.0
4	(Info) LSD Coverage	0.1
4	(Info) DSB Misses	4.9
2	Bad Speculation	29.1
3	Branch Mispredict	18.5
4	Other Mispredicts	4.6
3	Machine Clears	10.6
4	Other Nukes	0.0
2	Back-End Bound	36.6
3	Memory Bound	26.0
4	L1 Bound	3.2
5	DTLB Overhead	27.9
6	Load STLB Hit	8.8
6	Load STLB Miss	19.0
7	Load STLB Miss 4K	19.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	14.7
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.1
4	L2 Bound	2.4
5	L2 Hit Latency	2.6
4	L3 Bound	12.8
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	3.5
5	SQ Full	0.1
4	DRAM Bound	16.9
5	Memory Bandwidth	10.1
5	Memory Latency	28.3
4	Store Bound	1.5
5	Store Latency	6.5
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	26.5
6	Store STLB Hit	24.0
6	Store STLB Miss	2.5
7	Store STLB Miss 4K	2.5
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
