Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	48.555036
1	Clockticks	22656000000
2	Performance-core (P-core)	21852000000
1	Instructions Retired	217098000000
2	Performance-core (P-core)	215739000000
1	CPI Rate	0.104358
2	Performance-core (P-core)	0.101289
1	Performance-core (P-core)	
2	Retiring	26.1
3	Light Operations	23.6
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	12.2
4	Fused Instructions	2.3
4	Non Fused Branches	2.5
4	Other	6.5
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	2.5
4	Few Uops Instructions	2.3
4	Microcode Sequencer	0.3
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.3
2	Front-End Bound	8.4
3	Front-End Latency	4.0
4	ICache Misses	0.6
5	Code L2 Hit	0.0
5	Code L2 Miss	0.6
4	ITLB Misses	0.3
5	Code STLB Hit	0.2
5	Code STLB Miss	0.1
6	Code STLB Miss 4K	0.1
6	Code STLB Miss 2M	0.0
4	Branch Resteers	2.1
5	Mispredicts Resteers	1.6
5	Clears Resteers	0.5
5	Unknown Branches	0.0
4	MS Switches	0.7
4	Length Changing Prefixes	0.0
4	DSB Switches	4.8
3	Front-End Bandwidth	4.4
4	Front-End Bandwidth MITE	1.3
5	Decoder-0 Alone	0.5
4	Front-End Bandwidth DSB	4.3
4	Front-End Bandwidth LSD	0.0
4	MS	0.4
4	(Info) DSB Coverage	60.0
4	(Info) LSD Coverage	2.2
4	(Info) DSB Misses	3.2
2	Bad Speculation	17.0
3	Branch Mispredict	13.1
4	Other Mispredicts	3.3
3	Machine Clears	3.8
4	Other Nukes	0.0
2	Back-End Bound	48.5
3	Memory Bound	36.0
4	L1 Bound	4.8
5	DTLB Overhead	25.3
6	Load STLB Hit	13.8
6	Load STLB Miss	11.5
7	Load STLB Miss 4K	11.5
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.9
5	L1 Latency Dependency	18.3
5	Lock Latency	0.0
5	Split Loads	0.2
5	FB Full	1.4
4	L2 Bound	1.7
5	L2 Hit Latency	15.0
4	L3 Bound	14.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	39.1
5	SQ Full	0.8
4	DRAM Bound	14.3
5	Memory Bandwidth	22.1
5	Memory Latency	22.9
4	Store Bound	8.8
5	Store Latency	5.7
5	False Sharing	0.0
5	Split Stores	0.1
5	Streaming Stores	0.0
5	DTLB Store Overhead	21.6
6	Store STLB Hit	19.5
6	Store STLB Miss	2.1
7	Store STLB Miss 4K	2.1
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	12.6
4	Divider	0.3
5	FP Divider	0.0
5	INT Divider	0.3
4	Serializing Operations	1.1
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	16.7
5	Cycles of 0 Ports Utilized	0.1
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	11.8
5	Cycles of 2 Ports Utilized	9.6
5	Cycles of 3+ Ports Utilized	36.9
6	ALU Operation Utilization	16.1
7	Port 0	17.9
7	Port 1	7.7
7	Port 6	33.5
6	Load Operation Utilization	23.6
6	Store Operation Utilization	20.5
5	Vector Capacity Usage (FPU)	6.2
1	Efficient-core (E-core)	
2	Retiring	38.1
3	Arith Ops	23.6
4	Non Divider	23.6
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	14.5
4	Loads	10.1
4	Stores	5.3
2	Front-End Bound	22.8
3	IFetch Latency	10.5
4	ICache Misses	5.4
4	ITLB Misses	1.0
4	BACLEARS	2.4
4	Branch Resteers	0.2
3	IFetch Bandwidth	12.3
4	Cisc	3.3
4	Decode	6.3
4	Pre-Decode Wrong	0.2
4	Front-End Other	3.0
2	Bad Speculation	19.7
3	Branch Mispredict	20.7
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.0
2	Back-End Bound	19.5
3	Memory Subsystem Bound	10.3
4	L2 Bound	5.0
4	L2 Miss	2.2
5	L3 Bound	0.7
5	Memory Bound	1.5
3	Core Bound	9.2
4	Serializing Operations	7.9
5	Pause	1.7
5	TPause	0.0
4	L1 Bound	0.4
4	RB Bound	0.0
4	Store Bound	0.4
4	Execution Bound	0.0
4	Allocation Bound	0.6
5	Allocation Restriction	0.6
2	Info Metrics	
3	Stores Bound	0.010416
3	Load Bound	0.113714
1	Average CPU Frequency	4833279603.035897
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.4% (0.093 out of 24)
1	Effective Logical Core Utilization	0.3% (0.097 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	56670354
1	Collection start time	07:44:31 12/06/2026 UTC
1	Collection stop time	07:45:19 12/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199754
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
