Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	61.787343
1	Clockticks	58185000000
2	Performance-core (P-core)	57525000000
1	Instructions Retired	447435000000
2	Performance-core (P-core)	445920000000
1	CPI Rate	0.130041
2	Performance-core (P-core)	0.129003
1	Performance-core (P-core)	
2	Retiring	40.7
3	Light Operations	36.6
4	FP Arithmetic	23.1
5	FP x87	0.0
5	FP Scalar	23.1
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	15.3
4	Fused Instructions	5.5
4	Non Fused Branches	0.7
4	Other	0.0
5	Nop Instructions	0.1
5	Shuffles_256b	0.0
3	Heavy Operations	4.2
4	Few Uops Instructions	4.1
4	Microcode Sequencer	0.1
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.1
2	Front-End Bound	9.1
3	Front-End Latency	3.3
4	ICache Misses	0.2
5	Code L2 Hit	0.0
5	Code L2 Miss	0.6
4	ITLB Misses	0.1
5	Code STLB Hit	0.1
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	1.3
5	Mispredicts Resteers	1.0
5	Clears Resteers	0.3
5	Unknown Branches	0.0
4	MS Switches	0.3
4	Length Changing Prefixes	0.0
4	DSB Switches	0.4
3	Front-End Bandwidth	5.8
4	Front-End Bandwidth MITE	0.2
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	3.3
4	Front-End Bandwidth LSD	0.1
4	MS	0.1
4	(Info) DSB Coverage	48.3
4	(Info) LSD Coverage	10.5
4	(Info) DSB Misses	1.0
2	Bad Speculation	10.9
3	Branch Mispredict	8.0
4	Other Mispredicts	0.4
3	Machine Clears	2.8
4	Other Nukes	0.0
2	Back-End Bound	39.3
3	Memory Bound	17.0
4	L1 Bound	20.2
5	DTLB Overhead	2.1
6	Load STLB Hit	1.9
6	Load STLB Miss	0.2
7	Load STLB Miss 4K	0.2
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.9
5	L1 Latency Dependency	33.9
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.4
4	L2 Bound	2.4
5	L2 Hit Latency	100.0
4	L3 Bound	2.6
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	54.1
5	SQ Full	0.2
4	DRAM Bound	0.5
5	Memory Bandwidth	18.9
5	Memory Latency	10.0
4	Store Bound	0.1
5	Store Latency	0.5
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	0.9
6	Store STLB Hit	0.9
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	22.3
4	Divider	0.6
5	FP Divider	0.3
5	INT Divider	0.3
4	Serializing Operations	0.5
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	22.5
5	Cycles of 0 Ports Utilized	0.1
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	14.6
5	Cycles of 2 Ports Utilized	9.4
5	Cycles of 3+ Ports Utilized	45.5
6	ALU Operation Utilization	26.3
7	Port 0	24.2
7	Port 1	20.8
7	Port 6	43.6
6	Load Operation Utilization	33.6
6	Store Operation Utilization	4.8
5	Vector Capacity Usage (FPU)	12.5
1	Efficient-core (E-core)	
2	Retiring	37.9
3	Arith Ops	26.9
4	Non Divider	26.9
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	11.0
4	Loads	8.2
4	Stores	4.5
2	Front-End Bound	25.3
3	IFetch Latency	13.0
4	ICache Misses	6.0
4	ITLB Misses	1.3
4	BACLEARS	3.4
4	Branch Resteers	0.5
3	IFetch Bandwidth	12.2
4	Cisc	3.6
4	Decode	8.8
4	Pre-Decode Wrong	0.3
4	Front-End Other	2.9
2	Bad Speculation	13.5
3	Branch Mispredict	27.1
3	Machine Clears	0.0
4	Ucode_Assist	0.0
4	Machine_Restart	0.0
2	Back-End Bound	23.3
3	Memory Subsystem Bound	8.1
4	L2 Bound	7.2
4	L2 Miss	3.1
5	L3 Bound	1.0
5	Memory Bound	2.1
3	Core Bound	15.2
4	Serializing Operations	3.7
5	Pause	1.5
5	TPause	0.0
4	L1 Bound	3.4
4	RB Bound	0.0
4	Store Bound	0.4
4	Execution Bound	7.1
4	Allocation Bound	0.5
5	Allocation Restriction	0.5
2	Info Metrics	
3	Stores Bound	0.004348
3	Load Bound	0.115165
1	Average CPU Frequency	28872713305.489559
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.1% (0.032 out of 24)
1	Effective Logical Core Utilization	0.1% (0.033 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	81046646
1	Collection start time	08:00:07 12/06/2026 UTC
1	Collection stop time	08:01:09 12/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199751
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
